chrom	start_window	end_window	gene_counts
Tfas_chr5	2000001	3e+06	114
Tfas_chr5	3000001	4e+06	72
Tfas_chr5	4000001	5e+06	70
Tfas_chr5	5000001	6e+06	36
Tfas_chr5	6000001	7e+06	15
Tfas_chr5	7000001	8e+06	16
Tfas_chr5	8000001	9e+06	19
Tfas_chr5	9000001	1e+07	9
Tfas_chr5	10000001	1.1e+07	5
Tfas_chr5	11000001	1.2e+07	2
Tfas_chr5	12000001	1.3e+07	4
Tfas_chr5	13000001	1.4e+07	4
Tfas_chr5	14000001	1.5e+07	9
Tfas_chr5	15000001	1.6e+07	12
Tfas_chr5	16000001	1.7e+07	13
Tfas_chr5	17000001	1.8e+07	6
Tfas_chr5	18000001	1.9e+07	14
Tfas_chr5	19000001	2e+07	7
Tfas_chr5	20000001	2.1e+07	7
Tfas_chr5	21000001	2.2e+07	10
Tfas_chr5	22000001	2.3e+07	22
Tfas_chr5	23000001	2.4e+07	19
Tfas_chr5	24000001	2.5e+07	20
Tfas_chr5	25000001	2.6e+07	32
Tfas_chr5	26000001	2.7e+07	36
Tfas_chr5	27000001	2.8e+07	73
Tfas_chr5	28000001	2.9e+07	119
Tfas_chr5	29000001	3e+07	128
Tfas_chr5	30000001	3.1e+07	14
Tfas_chr6	1	1e+06	81
Tfas_chr6	1000001	2e+06	84
Tfas_chr6	2000001	3e+06	39
Tfas_chr6	3000001	4e+06	22
Tfas_chr6	4000001	5e+06	21
Tfas_chr6	5000001	6e+06	10
Tfas_chr6	6000001	7e+06	13
Tfas_chr6	7000001	8e+06	14
Tfas_chr6	8000001	9e+06	29
Tfas_chr6	9000001	1e+07	11
Tfas_chr6	10000001	1.1e+07	9
Tfas_chr6	11000001	1.2e+07	17
Tfas_chr6	12000001	1.3e+07	9
Tfas_chr6	13000001	1.4e+07	9
Tfas_chr6	14000001	1.5e+07	6
Tfas_chr6	15000001	1.6e+07	7
Tfas_chr6	16000001	1.7e+07	15
Tfas_chr6	17000001	1.8e+07	6
Tfas_chr6	18000001	1.9e+07	7
Tfas_chr6	19000001	2e+07	8
Tfas_chr6	20000001	2.1e+07	25
Tfas_chr6	21000001	2.2e+07	11
Tfas_chr6	22000001	2.3e+07	6
Tfas_chr6	23000001	2.4e+07	43
Tfas_chr6	24000001	2.5e+07	59
Tfas_chr6	25000001	2.6e+07	85
Tfas_chr6	26000001	2.7e+07	111
Tfas_chr6	27000001	2.8e+07	123
Tfas_chr6	28000001	2.9e+07	129
Tfas_chr6	29000001	3e+07	48
Tfas_chr7	1	1e+06	131
Tfas_chr7	1000001	2e+06	120
Tfas_chr7	2000001	3e+06	97
Tfas_chr7	3000001	4e+06	73
Tfas_chr7	4000001	5e+06	66
Tfas_chr7	5000001	6e+06	27
Tfas_chr7	6000001	7e+06	11
Tfas_chr7	7000001	8e+06	33
Tfas_chr7	8000001	9e+06	13
Tfas_chr7	9000001	1e+07	25
Tfas_chr7	10000001	1.1e+07	17
Tfas_chr7	11000001	1.2e+07	24
Tfas_chr7	12000001	1.3e+07	22
Tfas_chr7	13000001	1.4e+07	16
Tfas_chr7	14000001	1.5e+07	15
Tfas_chr7	15000001	1.6e+07	19
Tfas_chr7	16000001	1.7e+07	23
Tfas_chr7	17000001	1.8e+07	32
Tfas_chr7	18000001	1.9e+07	24
Tfas_chr7	19000001	2e+07	19
Tfas_chr7	20000001	2.1e+07	41
Tfas_chr7	21000001	2.2e+07	15
Tfas_chr7	22000001	2.3e+07	51
Tfas_chr7	23000001	2.4e+07	46
Tfas_chr7	24000001	2.5e+07	37
Tfas_chr7	25000001	2.6e+07	37
Tfas_chr7	26000001	2.7e+07	46
Tfas_chr7	27000001	2.8e+07	5
Tfas_chr8	1	1e+06	118
Tfas_chr8	1000001	2e+06	105
Tfas_chr8	2000001	3e+06	72
Tfas_chr8	3000001	4e+06	58
Tfas_chr8	4000001	5e+06	40
Tfas_chr8	5000001	6e+06	43
Tfas_chr8	6000001	7e+06	24
Tfas_chr8	7000001	8e+06	28
Tfas_chr8	8000001	9e+06	6
Tfas_chr8	9000001	1e+07	17
Tfas_chr8	10000001	1.1e+07	21
Tfas_chr8	11000001	1.2e+07	18
Tfas_chr8	12000001	1.3e+07	14
Tfas_chr8	13000001	1.4e+07	7
Tfas_chr8	14000001	1.5e+07	9
Tfas_chr8	15000001	1.6e+07	7
Tfas_chr8	16000001	1.7e+07	13
Tfas_chr8	17000001	1.8e+07	8
Tfas_chr8	18000001	1.9e+07	3
Tfas_chr8	19000001	2e+07	14
Tfas_chr8	20000001	2.1e+07	7
Tfas_chr8	21000001	2.2e+07	30
Tfas_chr8	22000001	2.3e+07	40
Tfas_chr8	23000001	2.4e+07	56
Tfas_chr8	24000001	2.5e+07	68
Tfas_chr8	25000001	2.6e+07	98
Tfas_chr8	26000001	2.7e+07	119
Tfas_chr8	27000001	2.8e+07	17
Tfas_chr9	1	1e+06	122
Tfas_chr9	1000001	2e+06	99
Tfas_chr9	2000001	3e+06	80
Tfas_chr9	3000001	4e+06	36
Tfas_chr9	4000001	5e+06	38
Tfas_chr9	5000001	6e+06	26
Tfas_chr9	6000001	7e+06	10
Tfas_chr9	7000001	8e+06	14
Tfas_chr9	8000001	9e+06	10
Tfas_chr9	9000001	1e+07	9
Tfas_chr9	10000001	1.1e+07	12
Tfas_chr9	11000001	1.2e+07	4
Tfas_chr9	12000001	1.3e+07	4
Tfas_chr9	13000001	1.4e+07	5
Tfas_chr9	14000001	1.5e+07	7
Tfas_chr9	15000001	1.6e+07	8
Tfas_chr9	16000001	1.7e+07	4
Tfas_chr9	17000001	1.8e+07	17
Tfas_chr9	18000001	1.9e+07	12
Tfas_chr9	19000001	2e+07	4
Tfas_chr9	20000001	2.1e+07	12
Tfas_chr9	21000001	2.2e+07	23
Tfas_chr9	22000001	2.3e+07	23
Tfas_chr9	23000001	2.4e+07	28
Tfas_chr9	24000001	2.5e+07	35
Tfas_chr9	25000001	2.6e+07	76
Tfas_chr9	26000001	2.7e+07	44
Tfas_chr10	1	1e+06	81
Tfas_chr10	1000001	2e+06	71
Tfas_chr10	2000001	3e+06	36
Tfas_chr10	3000001	4e+06	17
Tfas_chr10	4000001	5e+06	22
Tfas_chr10	5000001	6e+06	6
Tfas_chr10	6000001	7e+06	7
Tfas_chr10	7000001	8e+06	10
Tfas_chr10	8000001	9e+06	18
Tfas_chr10	9000001	1e+07	14
Tfas_chr10	10000001	1.1e+07	9
Tfas_chr10	11000001	1.2e+07	0
Tfas_chr10	12000001	1.3e+07	4
Tfas_chr10	13000001	1.4e+07	12
Tfas_chr10	14000001	1.5e+07	15
Tfas_chr10	15000001	1.6e+07	12
Tfas_chr10	16000001	1.7e+07	17
Tfas_chr10	17000001	1.8e+07	15
Tfas_chr10	18000001	1.9e+07	21
Tfas_chr10	19000001	2e+07	36
Tfas_chr10	20000001	2.1e+07	68
Tfas_chr10	21000001	2.2e+07	80
Tfas_chr10	22000001	2.3e+07	85
Tfas_chr10	23000001	2.4e+07	122
Tfas_chr10	24000001	2.5e+07	117
Tfas_chr10	25000001	2.6e+07	126
Tfas_chr10	26000001	2.7e+07	0
Tfas_chr11	1	1e+06	93
Tfas_chr11	1000001	2e+06	105
Tfas_chr11	2000001	3e+06	99
Tfas_chr11	3000001	4e+06	117
Tfas_chr11	4000001	5e+06	109
Tfas_chr11	5000001	6e+06	74
Tfas_chr11	6000001	7e+06	67
Tfas_chr11	7000001	8e+06	45
Tfas_chr11	8000001	9e+06	30
Tfas_chr11	9000001	1e+07	37
Tfas_chr11	10000001	1.1e+07	16
Tfas_chr11	11000001	1.2e+07	29
Tfas_chr11	12000001	1.3e+07	28
Tfas_chr11	13000001	1.4e+07	9
Tfas_chr11	14000001	1.5e+07	7
Tfas_chr11	15000001	1.6e+07	13
Tfas_chr11	16000001	1.7e+07	9
Tfas_chr11	17000001	1.8e+07	9
Tfas_chr11	18000001	1.9e+07	15
Tfas_chr11	19000001	2e+07	26
Tfas_chr11	20000001	2.1e+07	20
Tfas_chr11	21000001	2.2e+07	20
Tfas_chr11	22000001	2.3e+07	13
Tfas_chr11	23000001	2.4e+07	51
Tfas_chr11	24000001	2.5e+07	64
Tfas_chr11	25000001	2.6e+07	47
Tfas_chr12	1	1e+06	99
Tfas_chr12	1000001	2e+06	92
Tfas_chr12	2000001	3e+06	89
Tfas_chr12	3000001	4e+06	65
Tfas_chr12	4000001	5e+06	52
Tfas_chr12	5000001	6e+06	32
Tfas_chr12	6000001	7e+06	23
Tfas_chr12	7000001	8e+06	19
Tfas_chr12	8000001	9e+06	14
Tfas_chr12	9000001	1e+07	15
Tfas_chr12	10000001	1.1e+07	8
Tfas_chr12	11000001	1.2e+07	9
Tfas_chr12	12000001	1.3e+07	10
Tfas_chr12	13000001	1.4e+07	5
Tfas_chr12	14000001	1.5e+07	11
Tfas_chr12	15000001	1.6e+07	16
Tfas_chr12	16000001	1.7e+07	4
Tfas_chr12	17000001	1.8e+07	4
Tfas_chr12	18000001	1.9e+07	8
Tfas_chr12	19000001	2e+07	12
Tfas_chr12	20000001	2.1e+07	7
Tfas_chr12	21000001	2.2e+07	36
Tfas_chr12	22000001	2.3e+07	61
Tfas_chr12	23000001	2.4e+07	49
Tfas_chr12	24000001	2.5e+07	51
Tfas_chr12	25000001	2.6e+07	26
Tfas_chr13	1	1e+06	98
Tfas_chr13	1000001	2e+06	96
Tfas_chr13	2000001	3e+06	130
Tfas_chr13	3000001	4e+06	97
Tfas_chr13	4000001	5e+06	69
Tfas_chr13	5000001	6e+06	48
Tfas_chr13	6000001	7e+06	36
Tfas_chr13	7000001	8e+06	24
Tfas_chr13	8000001	9e+06	18
Tfas_chr13	9000001	1e+07	18
Tfas_chr13	10000001	1.1e+07	6
Tfas_chr13	11000001	1.2e+07	6
Tfas_chr13	12000001	1.3e+07	6
Tfas_chr13	13000001	1.4e+07	10
Tfas_chr13	14000001	1.5e+07	8
Tfas_chr13	15000001	1.6e+07	6
Tfas_chr13	16000001	1.7e+07	12
Tfas_chr13	17000001	1.8e+07	16
Tfas_chr13	18000001	1.9e+07	15
Tfas_chr13	19000001	2e+07	24
Tfas_chr13	20000001	2.1e+07	12
Tfas_chr13	21000001	2.2e+07	18
Tfas_chr13	22000001	2.3e+07	24
Tfas_chr13	23000001	2.4e+07	53
Tfas_chr13	24000001	2.5e+07	75
Tfas_chr14	1	1e+06	99
Tfas_chr14	1000001	2e+06	108
Tfas_chr14	2000001	3e+06	104
Tfas_chr14	3000001	4e+06	97
Tfas_chr14	4000001	5e+06	49
Tfas_chr14	5000001	6e+06	25
Tfas_chr14	6000001	7e+06	13
Tfas_chr14	7000001	8e+06	11
Tfas_chr14	8000001	9e+06	17
Tfas_chr14	9000001	1e+07	15
Tfas_chr14	10000001	1.1e+07	15
Tfas_chr14	11000001	1.2e+07	5
Tfas_chr14	12000001	1.3e+07	11
Tfas_chr14	13000001	1.4e+07	13
Tfas_chr14	14000001	1.5e+07	4
Tfas_chr14	15000001	1.6e+07	12
Tfas_chr14	16000001	1.7e+07	3
Tfas_chr14	17000001	1.8e+07	9
Tfas_chr14	18000001	1.9e+07	7
Tfas_chr14	19000001	2e+07	9
Tfas_chr14	20000001	2.1e+07	15
Tfas_chr14	21000001	2.2e+07	17
Tfas_chr14	22000001	2.3e+07	19
Tfas_chr14	23000001	2.4e+07	41
Tfas_chr14	24000001	2.5e+07	32
Tfas_chr15	1	1e+06	87
Tfas_chr15	1000001	2e+06	42
Tfas_chr15	2000001	3e+06	23
Tfas_chr15	3000001	4e+06	27
Tfas_chr15	4000001	5e+06	23
Tfas_chr15	5000001	6e+06	6
Tfas_chr15	6000001	7e+06	10
Tfas_chr15	7000001	8e+06	19
Tfas_chr15	8000001	9e+06	13
Tfas_chr15	9000001	1e+07	10
Tfas_chr15	10000001	1.1e+07	10
Tfas_chr15	11000001	1.2e+07	13
Tfas_chr15	12000001	1.3e+07	10
Tfas_chr15	13000001	1.4e+07	7
Tfas_chr15	14000001	1.5e+07	5
Tfas_chr15	15000001	1.6e+07	9
Tfas_chr15	16000001	1.7e+07	35
Tfas_chr15	17000001	1.8e+07	32
Tfas_chr15	18000001	1.9e+07	35
Tfas_chr15	19000001	2e+07	83
Tfas_chr15	20000001	2.1e+07	105
Tfas_chr15	21000001	2.2e+07	97
Tfas_chr15	22000001	2.3e+07	125
Tfas_chr15	23000001	2.4e+07	80
Tfas_chr16	1	1e+06	80
Tfas_chr16	1000001	2e+06	39
Tfas_chr16	2000001	3e+06	51
Tfas_chr16	3000001	4e+06	34
Tfas_chr16	4000001	5e+06	19
Tfas_chr16	5000001	6e+06	9
Tfas_chr16	6000001	7e+06	7
Tfas_chr16	7000001	8e+06	6
Tfas_chr16	8000001	9e+06	15
Tfas_chr16	9000001	1e+07	12
Tfas_chr16	10000001	1.1e+07	14
Tfas_chr16	11000001	1.2e+07	13
Tfas_chr16	12000001	1.3e+07	12
Tfas_chr16	13000001	1.4e+07	11
Tfas_chr16	14000001	1.5e+07	20
Tfas_chr16	15000001	1.6e+07	7
Tfas_chr16	16000001	1.7e+07	14
Tfas_chr16	17000001	1.8e+07	11
Tfas_chr16	18000001	1.9e+07	38
Tfas_chr16	19000001	2e+07	63
Tfas_chr16	20000001	2.1e+07	77
Tfas_chr16	21000001	2.2e+07	94
Tfas_chr16	22000001	2.3e+07	125
Tfas_chr16	23000001	2.4e+07	75
Tfas_chr17	1	1e+06	7
Tfas_chr17	1000001	2e+06	9
Tfas_chr17	2000001	3e+06	12
Tfas_chr17	3000001	4e+06	8
Tfas_chr17	4000001	5e+06	8
Tfas_chr17	5000001	6e+06	6
Tfas_chr17	6000001	7e+06	12
Tfas_chr17	7000001	8e+06	13
Tfas_chr17	8000001	9e+06	27
Tfas_chr17	9000001	1e+07	43
Tfas_chr17	10000001	1.1e+07	40
Tfas_chr17	11000001	1.2e+07	6
Tfas_chr17	12000001	1.3e+07	16
Tfas_chr17	13000001	1.4e+07	18
Tfas_chr17	14000001	1.5e+07	31
Tfas_chr17	15000001	1.6e+07	18
Tfas_chr17	16000001	1.7e+07	55
Tfas_chr17	17000001	1.8e+07	103
Tfas_chr17	18000001	1.9e+07	106
Tfas_chr17	19000001	2e+07	122
Tfas_chr17	20000001	2.1e+07	119
Tfas_chr17	21000001	2.2e+07	67
Tfas_chr18	1	1e+06	122
Tfas_chr18	1000001	2e+06	123
Tfas_chr18	2000001	3e+06	103
Tfas_chr18	3000001	4e+06	68
Tfas_chr18	4000001	5e+06	39
Tfas_chr18	5000001	6e+06	30
Tfas_chr18	6000001	7e+06	19
Tfas_chr18	7000001	8e+06	11
Tfas_chr18	8000001	9e+06	10
Tfas_chr18	9000001	1e+07	4
Tfas_chr18	10000001	1.1e+07	10
Tfas_chr18	11000001	1.2e+07	16
Tfas_chr18	12000001	1.3e+07	11
Tfas_chr18	13000001	1.4e+07	18
Tfas_chr18	14000001	1.5e+07	31
Tfas_chr18	15000001	1.6e+07	43
Tfas_chr18	16000001	1.7e+07	42
Tfas_chr18	17000001	1.8e+07	28
Tfas_chr18	18000001	1.9e+07	3
Tfas_chr18	19000001	2e+07	18
Tfas_chr18	20000001	2.1e+07	21
Tfas_chr18	21000001	2.2e+07	13
Tfas_chr19	1	1e+06	111
Tfas_chr19	1000001	2e+06	116
Tfas_chr19	2000001	3e+06	115
Tfas_chr19	3000001	4e+06	74
Tfas_chr19	4000001	5e+06	43
Tfas_chr19	5000001	6e+06	33
Tfas_chr19	6000001	7e+06	27
Tfas_chr19	7000001	8e+06	21
Tfas_chr19	8000001	9e+06	14
Tfas_chr19	9000001	1e+07	18
Tfas_chr19	10000001	1.1e+07	14
Tfas_chr19	11000001	1.2e+07	8
Tfas_chr19	12000001	1.3e+07	26
Tfas_chr19	13000001	1.4e+07	26
Tfas_chr19	14000001	1.5e+07	21
Tfas_chr19	15000001	1.6e+07	20
Tfas_chr19	16000001	1.7e+07	14
Tfas_chr19	17000001	1.8e+07	31
Tfas_chr19	18000001	1.9e+07	13
Tfas_chr19	19000001	2e+07	7
Tfas_chr20	1	1e+06	104
Tfas_chr20	1000001	2e+06	108
Tfas_chr20	2000001	3e+06	68
Tfas_chr20	3000001	4e+06	37
Tfas_chr20	4000001	5e+06	35
Tfas_chr20	5000001	6e+06	10
Tfas_chr20	6000001	7e+06	12
Tfas_chr20	7000001	8e+06	8
Tfas_chr20	8000001	9e+06	7
Tfas_chr20	9000001	1e+07	7
Tfas_chr20	10000001	1.1e+07	5
Tfas_chr20	11000001	1.2e+07	20
Tfas_chr20	12000001	1.3e+07	16
Tfas_chr20	13000001	1.4e+07	13
Tfas_chr20	14000001	1.5e+07	26
Tfas_chr20	15000001	1.6e+07	32
Tfas_chr20	16000001	1.7e+07	37
Tfas_chr20	17000001	1.8e+07	61
Tfas_chr20	18000001	1.9e+07	82
Tfas_chr20	19000001	2e+07	25
Tfas_chr21	1	1e+06	54
Tfas_chr21	1000001	2e+06	61
Tfas_chr21	2000001	3e+06	54
Tfas_chr21	3000001	4e+06	34
Tfas_chr21	4000001	5e+06	33
Tfas_chr21	5000001	6e+06	28
Tfas_chr21	6000001	7e+06	21
Tfas_chr21	7000001	8e+06	16
Tfas_chr21	8000001	9e+06	20
Tfas_chr21	9000001	1e+07	11
Tfas_chr21	10000001	1.1e+07	8
Tfas_chr21	11000001	1.2e+07	24
Tfas_chr21	12000001	1.3e+07	33
Tfas_chr21	13000001	1.4e+07	56
Tfas_chr21	14000001	1.5e+07	76
Tfas_chr21	15000001	1.6e+07	98
Tfas_chr21	16000001	1.7e+07	125
Tfas_chr21	17000001	1.8e+07	104
Tfas_chr21	18000001	1.9e+07	0
Tfas_chr22	1	1e+06	59
Tfas_chr22	1000001	2e+06	36
Tfas_chr22	2000001	3e+06	40
Tfas_chr22	3000001	4e+06	10
Tfas_chr22	4000001	5e+06	13
Tfas_chr22	5000001	6e+06	5
Tfas_chr22	6000001	7e+06	20
Tfas_chr22	7000001	8e+06	24
Tfas_chr22	8000001	9e+06	30
Tfas_chr22	9000001	1e+07	41
Tfas_chr22	10000001	1.1e+07	35
Tfas_chr22	11000001	1.2e+07	22
Tfas_chr22	12000001	1.3e+07	56
Tfas_chr22	13000001	1.4e+07	89
Tfas_chr22	14000001	1.5e+07	100
Tfas_chr22	15000001	1.6e+07	120
Tfas_chr22	16000001	1.7e+07	118
Tfas_chr22	17000001	1.8e+07	5
Tfas_chr23	1	1e+06	72
Tfas_chr23	1000001	2e+06	58
Tfas_chr23	2000001	3e+06	56
Tfas_chr23	3000001	4e+06	53
Tfas_chr23	4000001	5e+06	36
Tfas_chr23	5000001	6e+06	26
Tfas_chr23	6000001	7e+06	17
Tfas_chr23	7000001	8e+06	14
Tfas_chr23	8000001	9e+06	12
Tfas_chr23	9000001	1e+07	13
Tfas_chr23	10000001	1.1e+07	19
Tfas_chr23	11000001	1.2e+07	14
Tfas_chr23	12000001	1.3e+07	32
Tfas_chr23	13000001	1.4e+07	40
Tfas_chr23	14000001	1.5e+07	107
Tfas_chr23	15000001	1.6e+07	120
Tfas_chr23	16000001	1.7e+07	73
Tfas_chr24	1	1e+06	14
Tfas_chr24	1000001	2e+06	25
Tfas_chr24	2000001	3e+06	30
Tfas_chr24	3000001	4e+06	22
Tfas_chr24	4000001	5e+06	11
Tfas_chr24	5000001	6e+06	28
Tfas_chr24	6000001	7e+06	31
Tfas_chr24	7000001	8e+06	21
Tfas_chr24	8000001	9e+06	56
Tfas_chr24	9000001	1e+07	82
Tfas_chr24	10000001	1.1e+07	94
Tfas_chr24	11000001	1.2e+07	106
Tfas_chr24	12000001	1.3e+07	97
Tfas_chr24	13000001	1.4e+07	45
Tfas_chr25	1	1e+06	114
Tfas_chr25	1000001	2e+06	109
Tfas_chr25	2000001	3e+06	64
Tfas_chr25	3000001	4e+06	49
Tfas_chr25	4000001	5e+06	16
Tfas_chr25	5000001	6e+06	27
Tfas_chr25	6000001	7e+06	27
Tfas_chr25	7000001	8e+06	46
Tfas_chr25	8000001	9e+06	22
Tfas_chr25	9000001	1e+07	48
Tfas_chr25	10000001	1.1e+07	57
Tfas_chr25	11000001	1.2e+07	87
Tfas_chr25	12000001	1.3e+07	32
Tlei_chr1	1	1e+06	103
Tlei_chr1	1000001	2e+06	57
Tlei_chr1	2000001	3e+06	23
Tlei_chr1	3000001	4e+06	24
Tlei_chr1	4000001	5e+06	17
Tlei_chr1	5000001	6e+06	8
Tlei_chr1	6000001	7e+06	8
Tlei_chr1	7000001	8e+06	4
Tlei_chr1	8000001	9e+06	8
Tlei_chr1	9000001	1e+07	8
Tlei_chr1	10000001	1.1e+07	6
Tlei_chr1	11000001	1.2e+07	6
Tlei_chr1	12000001	1.3e+07	6
Tlei_chr1	13000001	1.4e+07	6
Tlei_chr1	14000001	1.5e+07	2
Tlei_chr1	15000001	1.6e+07	1
Tlei_chr1	16000001	1.7e+07	2
Tlei_chr1	17000001	1.8e+07	0
Tlei_chr1	18000001	1.9e+07	5
Tlei_chr1	19000001	2e+07	9
Tlei_chr1	20000001	2.1e+07	6
Tlei_chr1	21000001	2.2e+07	0
Tlei_chr1	22000001	2.3e+07	2
Tlei_chr1	23000001	2.4e+07	0
Tlei_chr1	24000001	2.5e+07	3
Tlei_chr1	25000001	2.6e+07	7
Tlei_chr1	26000001	2.7e+07	4
Tlei_chr1	27000001	2.8e+07	2
Tlei_chr1	28000001	2.9e+07	0
Tlei_chr1	29000001	3e+07	3
Tlei_chr1	30000001	3.1e+07	1
Tlei_chr1	31000001	3.2e+07	2
Tlei_chr1	32000001	3.3e+07	1
Tlei_chr1	33000001	3.4e+07	7
Tlei_chr1	34000001	3.5e+07	5
Tlei_chr1	35000001	3.6e+07	1
Tlei_chr1	36000001	3.7e+07	6
Tlei_chr1	37000001	3.8e+07	0
Tlei_chr1	38000001	3.9e+07	2
Tlei_chr1	39000001	4e+07	2
Tlei_chr1	40000001	4.1e+07	4
Tlei_chr1	41000001	4.2e+07	0
Tlei_chr1	42000001	4.3e+07	5
Tlei_chr1	43000001	4.4e+07	1
Tlei_chr1	44000001	4.5e+07	3
Tlei_chr1	45000001	4.6e+07	1
Tlei_chr1	46000001	4.7e+07	3
Tlei_chr1	47000001	4.8e+07	3
Tlei_chr1	48000001	4.9e+07	7
