"chrom" "V2" "V3" "percentage_genic"
"33" "Scaffold_8399" "32000001" "3.3e+07" "0"
"34" "Scaffold_8399" "33000001" "3.4e+07" "2.8292"
"35" "Scaffold_8399" "34000001" "3.5e+07" "1.2714"
"36" "Scaffold_8399" "35000001" "3.6e+07" "0"
"37" "Scaffold_8399" "36000001" "3.7e+07" "0.7144"
"38" "Scaffold_8399" "37000001" "3.8e+07" "0"
"39" "Scaffold_8399" "38000001" "3.9e+07" "0"
"40" "Scaffold_8399" "39000001" "4e+07" "0"
"41" "Scaffold_8399" "40000001" "4.1e+07" "0.7419"
"42" "Scaffold_8399" "41000001" "4.2e+07" "0"
"43" "Scaffold_8399" "42000001" "4.3e+07" "3.8215"
"44" "Scaffold_8399" "43000001" "4.4e+07" "0"
"45" "Scaffold_8399" "44000001" "4.5e+07" "0"
"46" "Scaffold_8399" "45000001" "4.6e+07" "0"
"47" "Scaffold_8399" "46000001" "4.7e+07" "0"
"48" "Scaffold_8399" "47000001" "4.8e+07" "0.0251"
"49" "Scaffold_8399" "48000001" "4.9e+07" "0.1336"
"50" "Scaffold_8399" "49000001" "5e+07" "5.009"
"51" "Scaffold_8399" "50000001" "5.1e+07" "9.0481"
"52" "Scaffold_8399" "51000001" "5.2e+07" "1.4215"
"53" "Scaffold_8399" "52000001" "5.3e+07" "7.374"
"54" "Scaffold_8399" "53000001" "5.4e+07" "14.4053"
"55" "Scaffold_8399" "54000001" "5.5e+07" "19.9796"
"56" "Scaffold_8399" "55000001" "5.6e+07" "16.1183"
"57" "Scaffold_8399" "56000001" "5.7e+07" "31.7965"
"58" "Scaffold_8399" "57000001" "5.8e+07" "31.3243"
"59" "Scaffold_8399" "58000001" "5.9e+07" "25.6729"
"60" "Scaffold_8399" "59000001" "6e+07" "33.6468"
"61" "Scaffold_8399" "60000001" "6.1e+07" "7.0761"
"62" "Scaffold_10370" "1" "1e+06" "31.8227"
"63" "Scaffold_10370" "1000001" "2e+06" "38.1271"
"64" "Scaffold_10370" "2000001" "3e+06" "39.6219"
"65" "Scaffold_10370" "3000001" "4e+06" "26.1882"
"66" "Scaffold_10370" "4000001" "5e+06" "20.4175"
"67" "Scaffold_10370" "5000001" "6e+06" "10.1645"
"68" "Scaffold_10370" "6000001" "7e+06" "7.4209"
"69" "Scaffold_10370" "7000001" "8e+06" "5.9661"
"70" "Scaffold_10370" "8000001" "9e+06" "2.6767"
"71" "Scaffold_10370" "9000001" "1e+07" "2.4335"
"72" "Scaffold_10370" "10000001" "1.1e+07" "0.074"
"73" "Scaffold_10370" "11000001" "1.2e+07" "0.286"
"74" "Scaffold_10370" "12000001" "1.3e+07" "1.432"
"75" "Scaffold_10370" "13000001" "1.4e+07" "1.0738"
"76" "Scaffold_10370" "14000001" "1.5e+07" "0"
"77" "Scaffold_10370" "15000001" "1.6e+07" "0.4796"
"78" "Scaffold_10370" "16000001" "1.7e+07" "0.0828"
"79" "Scaffold_10370" "17000001" "1.8e+07" "0"
"80" "Scaffold_10370" "18000001" "1.9e+07" "0.1588"
"81" "Scaffold_10370" "19000001" "2e+07" "0"
"82" "Scaffold_10370" "20000001" "2.1e+07" "0"
"83" "Scaffold_10370" "21000001" "2.2e+07" "0.7485"
"84" "Scaffold_10370" "22000001" "2.3e+07" "0"
"85" "Scaffold_10370" "23000001" "2.4e+07" "2.9283"
"86" "Scaffold_10370" "24000001" "2.5e+07" "3.5305"
"87" "Scaffold_10370" "25000001" "2.6e+07" "0"
"88" "Scaffold_10370" "26000001" "2.7e+07" "0"
"89" "Scaffold_10370" "27000001" "2.8e+07" "0.25"
"90" "Scaffold_10370" "28000001" "2.9e+07" "5.1199"
"91" "Scaffold_10370" "29000001" "3e+07" "0"
"92" "Scaffold_10370" "30000001" "3.1e+07" "0"
"93" "Scaffold_10370" "31000001" "3.2e+07" "0"
"94" "Scaffold_10370" "32000001" "3.3e+07" "1.9322"
"95" "Scaffold_10370" "33000001" "3.4e+07" "3.3934"
"96" "Scaffold_10370" "34000001" "3.5e+07" "0.7954"
"97" "Scaffold_10370" "35000001" "3.6e+07" "3.5482"
"98" "Scaffold_10370" "36000001" "3.7e+07" "0.8833"
"99" "Scaffold_10370" "37000001" "3.8e+07" "0"
"100" "Scaffold_10370" "38000001" "3.9e+07" "2.025"
"101" "Scaffold_10370" "39000001" "4e+07" "0"
"102" "Scaffold_10370" "40000001" "4.1e+07" "0.7945"
"103" "Scaffold_10370" "41000001" "4.2e+07" "2.5156"
"104" "Scaffold_10370" "42000001" "4.3e+07" "0.2719"
"105" "Scaffold_10370" "43000001" "4.4e+07" "0"
"106" "Scaffold_10370" "44000001" "4.5e+07" "0"
"107" "Scaffold_10370" "45000001" "4.6e+07" "0.2956"
"108" "Scaffold_10370" "46000001" "4.7e+07" "1.3421"
"109" "Scaffold_10370" "47000001" "4.8e+07" "7.2831"
"110" "Scaffold_10370" "48000001" "4.9e+07" "0.7897"
"111" "Scaffold_10370" "49000001" "5e+07" "2.2095"
"112" "Scaffold_10370" "50000001" "5.1e+07" "4.926"
"113" "Scaffold_10370" "51000001" "5.2e+07" "8.8712"
"114" "Scaffold_10370" "52000001" "5.3e+07" "2.6596"
"115" "Scaffold_10370" "53000001" "5.4e+07" "14.9762"
"116" "Scaffold_10370" "54000001" "5.5e+07" "25.6191"
"117" "Scaffold_10370" "55000001" "5.6e+07" "27.2356"
"118" "Scaffold_10370" "56000001" "5.7e+07" "41.6792"
"119" "Scaffold_10370" "57000001" "5.8e+07" "3.3491"
"120" "Scaffold_247" "1" "1e+06" "21.6094"
"121" "Scaffold_247" "1000001" "2e+06" "23.5987"
"122" "Scaffold_247" "2000001" "3e+06" "21.8497"
"123" "Scaffold_247" "3000001" "4e+06" "7.6767"
"124" "Scaffold_247" "4000001" "5e+06" "7.3193"
"125" "Scaffold_247" "5000001" "6e+06" "1.6691"
"126" "Scaffold_247" "6000001" "7e+06" "0.9298"
"127" "Scaffold_247" "7000001" "8e+06" "0.5397"
"128" "Scaffold_247" "8000001" "9e+06" "1.5333"
"129" "Scaffold_247" "9000001" "1e+07" "0.1702"
"130" "Scaffold_247" "10000001" "1.1e+07" "0.9093"
"131" "Scaffold_247" "11000001" "1.2e+07" "8.3473"
"132" "Scaffold_247" "12000001" "1.3e+07" "8.3785"
"133" "Scaffold_247" "13000001" "1.4e+07" "8.7088"
"134" "Scaffold_247" "14000001" "1.5e+07" "0"
"135" "Scaffold_247" "15000001" "1.6e+07" "2.5328"
"136" "Scaffold_247" "16000001" "1.7e+07" "3.0625"
"137" "Scaffold_247" "17000001" "1.8e+07" "1.2865"
"138" "Scaffold_247" "18000001" "1.9e+07" "1.1759"
"139" "Scaffold_247" "19000001" "2e+07" "0.7926"
"140" "Scaffold_247" "20000001" "2.1e+07" "3.6294"
"141" "Scaffold_247" "21000001" "2.2e+07" "1.1879"
"142" "Scaffold_247" "22000001" "2.3e+07" "4.4007"
"143" "Scaffold_247" "23000001" "2.4e+07" "0.7816"
"144" "Scaffold_247" "24000001" "2.5e+07" "2.4043"
"145" "Scaffold_247" "25000001" "2.6e+07" "4.3079"
"146" "Scaffold_247" "26000001" "2.7e+07" "0.6839"
"147" "Scaffold_247" "27000001" "2.8e+07" "0"
"148" "Scaffold_247" "28000001" "2.9e+07" "1.1702"
"149" "Scaffold_247" "29000001" "3e+07" "0.9885"
"150" "Scaffold_247" "30000001" "3.1e+07" "1.2847"
"151" "Scaffold_247" "31000001" "3.2e+07" "2.2338"
"152" "Scaffold_247" "32000001" "3.3e+07" "0.6881"
"153" "Scaffold_247" "33000001" "3.4e+07" "2.6364"
"154" "Scaffold_247" "34000001" "3.5e+07" "0"
"155" "Scaffold_247" "35000001" "3.6e+07" "0.0524"
"156" "Scaffold_247" "36000001" "3.7e+07" "0"
"157" "Scaffold_247" "37000001" "3.8e+07" "0.8815"
"158" "Scaffold_247" "38000001" "3.9e+07" "1.4214"
"159" "Scaffold_247" "39000001" "4e+07" "1.5967"
"160" "Scaffold_247" "40000001" "4.1e+07" "0"
"161" "Scaffold_247" "41000001" "4.2e+07" "0"
"162" "Scaffold_247" "42000001" "4.3e+07" "0"
"163" "Scaffold_247" "43000001" "4.4e+07" "0"
"164" "Scaffold_247" "44000001" "4.5e+07" "0"
"165" "Scaffold_247" "45000001" "4.6e+07" "0"
"166" "Scaffold_247" "46000001" "4.7e+07" "2.4439"
"167" "Scaffold_247" "47000001" "4.8e+07" "4.3056"
"168" "Scaffold_247" "48000001" "4.9e+07" "2.5544"
"169" "Scaffold_247" "49000001" "5e+07" "7.378"
"170" "Scaffold_247" "50000001" "5.1e+07" "11.9991"
"171" "Scaffold_247" "51000001" "5.2e+07" "22.6117"
"172" "Scaffold_247" "52000001" "5.3e+07" "28.1799"
"173" "Scaffold_247" "53000001" "5.4e+07" "31.6927"
"174" "Scaffold_247" "54000001" "5.5e+07" "21.039"
"175" "Scaffold_247" "55000001" "5.6e+07" "4.7115"
"176" "Scaffold_4655" "1" "1e+06" "35.7726"
"177" "Scaffold_4655" "1000001" "2e+06" "35.5399"
"178" "Scaffold_4655" "2000001" "3e+06" "37.4215"
"179" "Scaffold_4655" "3000001" "4e+06" "36.6259"
"180" "Scaffold_4655" "4000001" "5e+06" "15.5501"
"181" "Scaffold_4655" "5000001" "6e+06" "7.8042"
"182" "Scaffold_4655" "6000001" "7e+06" "3.5544"
"183" "Scaffold_4655" "7000001" "8e+06" "8.0154"
"184" "Scaffold_4655" "8000001" "9e+06" "2.3293"
"185" "Scaffold_4655" "9000001" "1e+07" "0.2126"
"186" "Scaffold_4655" "10000001" "1.1e+07" "0"
"187" "Scaffold_4655" "11000001" "1.2e+07" "0"
"188" "Scaffold_4655" "12000001" "1.3e+07" "0"
"189" "Scaffold_4655" "13000001" "1.4e+07" "0"
"190" "Scaffold_4655" "14000001" "1.5e+07" "0"
"191" "Scaffold_4655" "15000001" "1.6e+07" "0"
"192" "Scaffold_4655" "16000001" "1.7e+07" "0"
"193" "Scaffold_4655" "17000001" "1.8e+07" "0"
"194" "Scaffold_4655" "18000001" "1.9e+07" "0"
"195" "Scaffold_4655" "19000001" "2e+07" "3.5359"
"196" "Scaffold_4655" "20000001" "2.1e+07" "0"
"197" "Scaffold_4655" "21000001" "2.2e+07" "0.0215"
"198" "Scaffold_4655" "22000001" "2.3e+07" "1.7318"
"199" "Scaffold_4655" "23000001" "2.4e+07" "0.1799"
"200" "Scaffold_4655" "24000001" "2.5e+07" "0"
"201" "Scaffold_4655" "25000001" "2.6e+07" "0"
"202" "Scaffold_4655" "26000001" "2.7e+07" "2.5457"
"203" "Scaffold_4655" "27000001" "2.8e+07" "2.5325"
"204" "Scaffold_4655" "28000001" "2.9e+07" "4.0275"
"205" "Scaffold_4655" "29000001" "3e+07" "2.7959"
"206" "Scaffold_4655" "30000001" "3.1e+07" "0"
"207" "Scaffold_4655" "31000001" "3.2e+07" "1.2268"
"208" "Scaffold_4655" "32000001" "3.3e+07" "6.5071"
"209" "Scaffold_4655" "33000001" "3.4e+07" "1.903"
"210" "Scaffold_4655" "34000001" "3.5e+07" "0"
"211" "Scaffold_4655" "35000001" "3.6e+07" "2.0818"
"212" "Scaffold_4655" "36000001" "3.7e+07" "5.9161"
"213" "Scaffold_4655" "37000001" "3.8e+07" "8.9193"
"214" "Scaffold_4655" "38000001" "3.9e+07" "4.6764"
"215" "Scaffold_4655" "39000001" "4e+07" "5.6961"
"216" "Scaffold_4655" "40000001" "4.1e+07" "0.2171"
"217" "Scaffold_4655" "41000001" "4.2e+07" "0"
"218" "Scaffold_4655" "42000001" "4.3e+07" "0.7834"
"219" "Scaffold_4655" "43000001" "4.4e+07" "0"
"220" "Scaffold_4655" "44000001" "4.5e+07" "0.1898"
"221" "Scaffold_4655" "45000001" "4.6e+07" "0"
"222" "Scaffold_4655" "46000001" "4.7e+07" "0"
"223" "Scaffold_4655" "47000001" "4.8e+07" "1.6127"
"224" "Scaffold_4655" "48000001" "4.9e+07" "4.9503"
"225" "Scaffold_4655" "49000001" "5e+07" "2.2804"
"226" "Scaffold_4655" "50000001" "5.1e+07" "1.7528"
"227" "Scaffold_4655" "51000001" "5.2e+07" "2.0569"
"228" "Scaffold_4655" "52000001" "5.3e+07" "11.3581"
"229" "Scaffold_4655" "53000001" "5.4e+07" "13.0172"
"230" "Scaffold_4655" "54000001" "5.5e+07" "20.309"
"231" "Scaffold_4655" "55000001" "5.6e+07" "8.948"
"232" "Scaffold_10302" "1" "1e+06" "26.4446"
"233" "Scaffold_10302" "1000001" "2e+06" "30.8565"
"234" "Scaffold_10302" "2000001" "3e+06" "17.7188"
"235" "Scaffold_10302" "3000001" "4e+06" "21.4024"
"236" "Scaffold_10302" "4000001" "5e+06" "15.5051"
"237" "Scaffold_10302" "5000001" "6e+06" "15.0168"
"238" "Scaffold_10302" "6000001" "7e+06" "4.4117"
"239" "Scaffold_10302" "7000001" "8e+06" "2.4714"
"240" "Scaffold_10302" "8000001" "9e+06" "0.7548"
"241" "Scaffold_10302" "9000001" "1e+07" "0.2277"
"242" "Scaffold_10302" "10000001" "1.1e+07" "3.0326"
"243" "Scaffold_10302" "11000001" "1.2e+07" "1.6717"
"244" "Scaffold_10302" "12000001" "1.3e+07" "5.2832"
"245" "Scaffold_10302" "13000001" "1.4e+07" "0.1444"
"246" "Scaffold_10302" "14000001" "1.5e+07" "0"
"247" "Scaffold_10302" "15000001" "1.6e+07" "6.5371"
"248" "Scaffold_10302" "16000001" "1.7e+07" "4.544"
"249" "Scaffold_10302" "17000001" "1.8e+07" "0"
"250" "Scaffold_10302" "18000001" "1.9e+07" "0.6162"
"251" "Scaffold_10302" "19000001" "2e+07" "0.1143"
"252" "Scaffold_10302" "20000001" "2.1e+07" "0"
"253" "Scaffold_10302" "21000001" "2.2e+07" "0"
"254" "Scaffold_10302" "22000001" "2.3e+07" "5.733"
"255" "Scaffold_10302" "23000001" "2.4e+07" "0"
"256" "Scaffold_10302" "24000001" "2.5e+07" "0"
"257" "Scaffold_10302" "25000001" "2.6e+07" "0"
"258" "Scaffold_10302" "26000001" "2.7e+07" "0.406"
"259" "Scaffold_10302" "27000001" "2.8e+07" "0.8766"
"260" "Scaffold_10302" "28000001" "2.9e+07" "0"
"261" "Scaffold_10302" "29000001" "3e+07" "0"
"262" "Scaffold_10302" "30000001" "3.1e+07" "0"
"263" "Scaffold_10302" "31000001" "3.2e+07" "0"
"264" "Scaffold_10302" "32000001" "3.3e+07" "2.8233"
"265" "Scaffold_10302" "33000001" "3.4e+07" "0"
"266" "Scaffold_10302" "34000001" "3.5e+07" "6.5952"
"267" "Scaffold_10302" "35000001" "3.6e+07" "1.1387"
"268" "Scaffold_10302" "36000001" "3.7e+07" "0"
"269" "Scaffold_10302" "37000001" "3.8e+07" "0.1313"
"270" "Scaffold_10302" "38000001" "3.9e+07" "0.2409"
"271" "Scaffold_10302" "39000001" "4e+07" "0.1071"
"272" "Scaffold_10302" "40000001" "4.1e+07" "0.6535"
"273" "Scaffold_10302" "41000001" "4.2e+07" "4.3904"
"274" "Scaffold_10302" "42000001" "4.3e+07" "2.0054"
"275" "Scaffold_10302" "43000001" "4.4e+07" "0"
"276" "Scaffold_10302" "44000001" "4.5e+07" "0"
"277" "Scaffold_10302" "45000001" "4.6e+07" "0"
"278" "Scaffold_10302" "46000001" "4.7e+07" "2.2294"
"279" "Scaffold_10302" "47000001" "4.8e+07" "2.105"
"280" "Scaffold_10302" "48000001" "4.9e+07" "0.9095"
"281" "Scaffold_10302" "49000001" "5e+07" "3.8146"
"282" "Scaffold_10302" "50000001" "5.1e+07" "0.1641"
"283" "Scaffold_10302" "51000001" "5.2e+07" "7.5928"
"284" "Scaffold_10302" "52000001" "5.3e+07" "8.6752"
"285" "Scaffold_10302" "53000001" "5.4e+07" "24.1676"
"286" "Scaffold_10302" "54000001" "5.5e+07" "16.373"
"287" "Scaffold_10429" "1" "1e+06" "33.117"
"288" "Scaffold_10429" "1000001" "2e+06" "32.4596"
"289" "Scaffold_10429" "2000001" "3e+06" "36.1512"
"290" "Scaffold_10429" "3000001" "4e+06" "23.086"
"291" "Scaffold_10429" "4000001" "5e+06" "29.7427"
"292" "Scaffold_10429" "5000001" "6e+06" "11.0652"
"293" "Scaffold_10429" "6000001" "7e+06" "6.0474"
"294" "Scaffold_10429" "7000001" "8e+06" "4.0106"
"295" "Scaffold_10429" "8000001" "9e+06" "2.0117"
"296" "Scaffold_10429" "9000001" "1e+07" "0.2723"
"297" "Scaffold_10429" "10000001" "1.1e+07" "0.0669"
"298" "Scaffold_10429" "11000001" "1.2e+07" "5.6565"
"299" "Scaffold_10429" "12000001" "1.3e+07" "0"
"300" "Scaffold_10429" "13000001" "1.4e+07" "0.1109"
"301" "Scaffold_10429" "14000001" "1.5e+07" "2.5936"
"302" "Scaffold_10429" "15000001" "1.6e+07" "1.6925"
"303" "Scaffold_10429" "16000001" "1.7e+07" "6.5913"
"304" "Scaffold_10429" "17000001" "1.8e+07" "0"
"305" "Scaffold_10429" "18000001" "1.9e+07" "0"
"306" "Scaffold_10429" "19000001" "2e+07" "0.8086"
"307" "Scaffold_10429" "20000001" "2.1e+07" "6.5106"
"308" "Scaffold_10429" "21000001" "2.2e+07" "2.2334"
"309" "Scaffold_10429" "22000001" "2.3e+07" "0"
"310" "Scaffold_10429" "23000001" "2.4e+07" "1.2722"
"311" "Scaffold_10429" "24000001" "2.5e+07" "2.1983"
"312" "Scaffold_10429" "25000001" "2.6e+07" "8.1779"
"313" "Scaffold_10429" "26000001" "2.7e+07" "0.3466"
"314" "Scaffold_10429" "27000001" "2.8e+07" "0"
"315" "Scaffold_10429" "28000001" "2.9e+07" "0"
"316" "Scaffold_10429" "29000001" "3e+07" "0.8536"
"317" "Scaffold_10429" "30000001" "3.1e+07" "0"
"318" "Scaffold_10429" "31000001" "3.2e+07" "1.601"
"319" "Scaffold_10429" "32000001" "3.3e+07" "0"
"320" "Scaffold_10429" "33000001" "3.4e+07" "0.1875"
"321" "Scaffold_10429" "34000001" "3.5e+07" "0"
"322" "Scaffold_10429" "35000001" "3.6e+07" "0"
"323" "Scaffold_10429" "36000001" "3.7e+07" "0"
"324" "Scaffold_10429" "37000001" "3.8e+07" "0"
"325" "Scaffold_10429" "38000001" "3.9e+07" "0.256"
"326" "Scaffold_10429" "39000001" "4e+07" "0"
"327" "Scaffold_10429" "40000001" "4.1e+07" "1.2134"
"328" "Scaffold_10429" "41000001" "4.2e+07" "0.6857"
"329" "Scaffold_10429" "42000001" "4.3e+07" "0.4151"
"330" "Scaffold_10429" "43000001" "4.4e+07" "3.9635"
"331" "Scaffold_10429" "44000001" "4.5e+07" "0.2965"
"332" "Scaffold_10429" "45000001" "4.6e+07" "0.0629"
"333" "Scaffold_10429" "46000001" "4.7e+07" "4.1841"
"334" "Scaffold_10429" "47000001" "4.8e+07" "6.2629"
"335" "Scaffold_10429" "48000001" "4.9e+07" "11.3183"
"336" "Scaffold_10429" "49000001" "5e+07" "27.5077"
"337" "Scaffold_10429" "50000001" "5.1e+07" "25.1877"
"338" "Scaffold_10429" "51000001" "5.2e+07" "19.3269"
"339" "Scaffold_10429" "52000001" "5.3e+07" "11.2611"
"340" "Scaffold_5555" "1" "1e+06" "29.3853"
"341" "Scaffold_5555" "1000001" "2e+06" "29.0068"
"342" "Scaffold_5555" "2000001" "3e+06" "18.0374"
"343" "Scaffold_5555" "3000001" "4e+06" "13.4229"
"344" "Scaffold_5555" "4000001" "5e+06" "9.1308"
"345" "Scaffold_5555" "5000001" "6e+06" "5.0095"
"346" "Scaffold_5555" "6000001" "7e+06" "3.3488"
"347" "Scaffold_5555" "7000001" "8e+06" "2.7593"
"348" "Scaffold_5555" "8000001" "9e+06" "0"
"349" "Scaffold_5555" "9000001" "1e+07" "3.3006"
"350" "Scaffold_5555" "10000001" "1.1e+07" "0"
"351" "Scaffold_5555" "11000001" "1.2e+07" "1.9784"
"352" "Scaffold_5555" "12000001" "1.3e+07" "1.2461"
"353" "Scaffold_5555" "13000001" "1.4e+07" "1.7575"
"354" "Scaffold_5555" "14000001" "1.5e+07" "0"
"355" "Scaffold_5555" "15000001" "1.6e+07" "0"
"356" "Scaffold_5555" "16000001" "1.7e+07" "0"
"357" "Scaffold_5555" "17000001" "1.8e+07" "0"
"358" "Scaffold_5555" "18000001" "1.9e+07" "0"
"359" "Scaffold_5555" "19000001" "2e+07" "2.2533"
"360" "Scaffold_5555" "20000001" "2.1e+07" "0"
"361" "Scaffold_5555" "21000001" "2.2e+07" "1.1571"
"362" "Scaffold_5555" "22000001" "2.3e+07" "0"
"363" "Scaffold_5555" "23000001" "2.4e+07" "0"
"364" "Scaffold_5555" "24000001" "2.5e+07" "0"
"365" "Scaffold_5555" "25000001" "2.6e+07" "0"
"366" "Scaffold_5555" "26000001" "2.7e+07" "0"
"367" "Scaffold_5555" "27000001" "2.8e+07" "0.0329"
"368" "Scaffold_5555" "28000001" "2.9e+07" "0.2387"
"369" "Scaffold_5555" "29000001" "3e+07" "0.1368"
"370" "Scaffold_5555" "30000001" "3.1e+07" "1.5437"
"371" "Scaffold_5555" "31000001" "3.2e+07" "1.0654"
"372" "Scaffold_5555" "32000001" "3.3e+07" "0"
"373" "Scaffold_5555" "33000001" "3.4e+07" "3.2967"
"374" "Scaffold_5555" "34000001" "3.5e+07" "0"
"375" "Scaffold_5555" "35000001" "3.6e+07" "0"
"376" "Scaffold_5555" "36000001" "3.7e+07" "4.157"
"377" "Scaffold_5555" "37000001" "3.8e+07" "3.0405"
"378" "Scaffold_5555" "38000001" "3.9e+07" "1.4763"
"379" "Scaffold_5555" "39000001" "4e+07" "0.7738"
"380" "Scaffold_5555" "40000001" "4.1e+07" "2.6198"
"381" "Scaffold_5555" "41000001" "4.2e+07" "0.2243"
"382" "Scaffold_5555" "42000001" "4.3e+07" "1.5625"
"383" "Scaffold_5555" "43000001" "4.4e+07" "0"
"384" "Scaffold_5555" "44000001" "4.5e+07" "1.6658"
"385" "Scaffold_5555" "45000001" "4.6e+07" "0.6547"
"386" "Scaffold_5555" "46000001" "4.7e+07" "1.7776"
"387" "Scaffold_5555" "47000001" "4.8e+07" "9.4138"
"388" "Scaffold_5555" "48000001" "4.9e+07" "4.5524"
"389" "Scaffold_5555" "49000001" "5e+07" "12.2532"
"390" "Scaffold_5555" "50000001" "5.1e+07" "12.8256"
"391" "Scaffold_5555" "51000001" "5.2e+07" "31.2292"
"392" "Scaffold_5555" "52000001" "5.3e+07" "5.5768"
"393" "Scaffold_9938" "1" "1e+06" "35.334"
"394" "Scaffold_9938" "1000001" "2e+06" "29.3016"
"395" "Scaffold_9938" "2000001" "3e+06" "28.1474"
"396" "Scaffold_9938" "3000001" "4e+06" "14.7998"
"397" "Scaffold_9938" "4000001" "5e+06" "10.2876"
"398" "Scaffold_9938" "5000001" "6e+06" "8.6664"
"399" "Scaffold_9938" "6000001" "7e+06" "6.0695"
"400" "Scaffold_9938" "7000001" "8e+06" "4.1277"
"401" "Scaffold_9938" "8000001" "9e+06" "1.3409"
"402" "Scaffold_9938" "9000001" "1e+07" "0.0665"
"403" "Scaffold_9938" "10000001" "1.1e+07" "4.0517"
"404" "Scaffold_9938" "11000001" "1.2e+07" "3.5125"
"405" "Scaffold_9938" "12000001" "1.3e+07" "0.2543"
"406" "Scaffold_9938" "13000001" "1.4e+07" "0.0326"
"407" "Scaffold_9938" "14000001" "1.5e+07" "0.36"
"408" "Scaffold_9938" "15000001" "1.6e+07" "2.6458"
"409" "Scaffold_9938" "16000001" "1.7e+07" "0.3689"
"410" "Scaffold_9938" "17000001" "1.8e+07" "0"
"411" "Scaffold_9938" "18000001" "1.9e+07" "0"
"412" "Scaffold_9938" "19000001" "2e+07" "0.4377"
"413" "Scaffold_9938" "20000001" "2.1e+07" "0"
"414" "Scaffold_9938" "21000001" "2.2e+07" "0"
"415" "Scaffold_9938" "22000001" "2.3e+07" "0"
"416" "Scaffold_9938" "23000001" "2.4e+07" "1.6382"
"417" "Scaffold_9938" "24000001" "2.5e+07" "0"
"418" "Scaffold_9938" "25000001" "2.6e+07" "0"
"419" "Scaffold_9938" "26000001" "2.7e+07" "0.3734"
"420" "Scaffold_9938" "27000001" "2.8e+07" "0.6955"
"421" "Scaffold_9938" "28000001" "2.9e+07" "3.1416"
"422" "Scaffold_9938" "29000001" "3e+07" "1.0276"
"423" "Scaffold_9938" "30000001" "3.1e+07" "0"
"424" "Scaffold_9938" "31000001" "3.2e+07" "0"
"425" "Scaffold_9938" "32000001" "3.3e+07" "0"
"426" "Scaffold_9938" "33000001" "3.4e+07" "0"
"427" "Scaffold_9938" "34000001" "3.5e+07" "1.495"
"428" "Scaffold_9938" "35000001" "3.6e+07" "1.3018"
"429" "Scaffold_9938" "36000001" "3.7e+07" "0"
"430" "Scaffold_9938" "37000001" "3.8e+07" "1.571"
"431" "Scaffold_9938" "38000001" "3.9e+07" "4.6142"
"432" "Scaffold_9938" "39000001" "4e+07" "5.9055"
"433" "Scaffold_9938" "40000001" "4.1e+07" "0"
"434" "Scaffold_9938" "41000001" "4.2e+07" "0"
"435" "Scaffold_9938" "42000001" "4.3e+07" "2.1281"
"436" "Scaffold_9938" "43000001" "4.4e+07" "0"
"437" "Scaffold_9938" "44000001" "4.5e+07" "2.0079"
"438" "Scaffold_9938" "45000001" "4.6e+07" "6.8188"
"439" "Scaffold_9938" "46000001" "4.7e+07" "5.5476"
"440" "Scaffold_9938" "47000001" "4.8e+07" "19.73"
"441" "Scaffold_9938" "48000001" "4.9e+07" "12.6825"
"442" "Scaffold_9938" "49000001" "5e+07" "22.7822"
"443" "Scaffold_9938" "50000001" "5.1e+07" "48.0214"
"444" "Scaffold_9938" "51000001" "5.2e+07" "10.1895"
