"chrom" "start_window" "end_window" "multicopy_gene_count"
"130" "Scaffold_247" "10000001" "1.1e+07" "0"
"131" "Scaffold_247" "11000001" "1.2e+07" "5"
"132" "Scaffold_247" "12000001" "1.3e+07" "7"
"133" "Scaffold_247" "13000001" "1.4e+07" "1"
"134" "Scaffold_247" "14000001" "1.5e+07" "7"
"135" "Scaffold_247" "15000001" "1.6e+07" "1"
"136" "Scaffold_247" "16000001" "1.7e+07" "4"
"137" "Scaffold_247" "17000001" "1.8e+07" "9"
"138" "Scaffold_247" "18000001" "1.9e+07" "5"
"139" "Scaffold_247" "19000001" "2e+07" "0"
"140" "Scaffold_247" "20000001" "2.1e+07" "5"
"141" "Scaffold_247" "21000001" "2.2e+07" "1"
"142" "Scaffold_247" "22000001" "2.3e+07" "1"
"143" "Scaffold_247" "23000001" "2.4e+07" "2"
"144" "Scaffold_247" "24000001" "2.5e+07" "2"
"145" "Scaffold_247" "25000001" "2.6e+07" "1"
"146" "Scaffold_247" "26000001" "2.7e+07" "0"
"147" "Scaffold_247" "27000001" "2.8e+07" "1"
"148" "Scaffold_247" "28000001" "2.9e+07" "0"
"149" "Scaffold_247" "29000001" "3e+07" "1"
"150" "Scaffold_247" "30000001" "3.1e+07" "2"
"151" "Scaffold_247" "31000001" "3.2e+07" "3"
"152" "Scaffold_247" "32000001" "3.3e+07" "1"
"153" "Scaffold_247" "33000001" "3.4e+07" "2"
"154" "Scaffold_247" "34000001" "3.5e+07" "1"
"155" "Scaffold_247" "35000001" "3.6e+07" "1"
"156" "Scaffold_247" "36000001" "3.7e+07" "0"
"157" "Scaffold_247" "37000001" "3.8e+07" "1"
"158" "Scaffold_247" "38000001" "3.9e+07" "7"
"159" "Scaffold_247" "39000001" "4e+07" "1"
"160" "Scaffold_247" "40000001" "4.1e+07" "2"
"161" "Scaffold_247" "41000001" "4.2e+07" "1"
"162" "Scaffold_247" "42000001" "4.3e+07" "0"
"163" "Scaffold_247" "43000001" "4.4e+07" "0"
"164" "Scaffold_247" "44000001" "4.5e+07" "0"
"165" "Scaffold_247" "45000001" "4.6e+07" "0"
"166" "Scaffold_247" "46000001" "4.7e+07" "2"
"167" "Scaffold_247" "47000001" "4.8e+07" "3"
"168" "Scaffold_247" "48000001" "4.9e+07" "5"
"169" "Scaffold_247" "49000001" "5e+07" "14"
"170" "Scaffold_247" "50000001" "5.1e+07" "13"
"171" "Scaffold_247" "51000001" "5.2e+07" "9"
"172" "Scaffold_247" "52000001" "5.3e+07" "21"
"173" "Scaffold_247" "53000001" "5.4e+07" "24"
"174" "Scaffold_247" "54000001" "5.5e+07" "14"
"175" "Scaffold_247" "55000001" "5.6e+07" "17"
"176" "Scaffold_4655" "1" "1e+06" "26"
"177" "Scaffold_4655" "1000001" "2e+06" "18"
"178" "Scaffold_4655" "2000001" "3e+06" "20"
"179" "Scaffold_4655" "3000001" "4e+06" "18"
"180" "Scaffold_4655" "4000001" "5e+06" "10"
"181" "Scaffold_4655" "5000001" "6e+06" "3"
"182" "Scaffold_4655" "6000001" "7e+06" "4"
"183" "Scaffold_4655" "7000001" "8e+06" "2"
"184" "Scaffold_4655" "8000001" "9e+06" "3"
"185" "Scaffold_4655" "9000001" "1e+07" "1"
"186" "Scaffold_4655" "10000001" "1.1e+07" "2"
"187" "Scaffold_4655" "11000001" "1.2e+07" "2"
"188" "Scaffold_4655" "12000001" "1.3e+07" "1"
"189" "Scaffold_4655" "13000001" "1.4e+07" "1"
"190" "Scaffold_4655" "14000001" "1.5e+07" "1"
"191" "Scaffold_4655" "15000001" "1.6e+07" "1"
"192" "Scaffold_4655" "16000001" "1.7e+07" "2"
"193" "Scaffold_4655" "17000001" "1.8e+07" "0"
"194" "Scaffold_4655" "18000001" "1.9e+07" "1"
"195" "Scaffold_4655" "19000001" "2e+07" "2"
"196" "Scaffold_4655" "20000001" "2.1e+07" "1"
"197" "Scaffold_4655" "21000001" "2.2e+07" "1"
"198" "Scaffold_4655" "22000001" "2.3e+07" "3"
"199" "Scaffold_4655" "23000001" "2.4e+07" "1"
"200" "Scaffold_4655" "24000001" "2.5e+07" "0"
"201" "Scaffold_4655" "25000001" "2.6e+07" "1"
"202" "Scaffold_4655" "26000001" "2.7e+07" "0"
"203" "Scaffold_4655" "27000001" "2.8e+07" "1"
"204" "Scaffold_4655" "28000001" "2.9e+07" "1"
"205" "Scaffold_4655" "29000001" "3e+07" "2"
"206" "Scaffold_4655" "30000001" "3.1e+07" "1"
"207" "Scaffold_4655" "31000001" "3.2e+07" "4"
"208" "Scaffold_4655" "32000001" "3.3e+07" "3"
"209" "Scaffold_4655" "33000001" "3.4e+07" "0"
"210" "Scaffold_4655" "34000001" "3.5e+07" "1"
"211" "Scaffold_4655" "35000001" "3.6e+07" "3"
"212" "Scaffold_4655" "36000001" "3.7e+07" "2"
"213" "Scaffold_4655" "37000001" "3.8e+07" "0"
"214" "Scaffold_4655" "38000001" "3.9e+07" "1"
"215" "Scaffold_4655" "39000001" "4e+07" "2"
"216" "Scaffold_4655" "40000001" "4.1e+07" "1"
"217" "Scaffold_4655" "41000001" "4.2e+07" "0"
"218" "Scaffold_4655" "42000001" "4.3e+07" "2"
"219" "Scaffold_4655" "43000001" "4.4e+07" "0"
"220" "Scaffold_4655" "44000001" "4.5e+07" "0"
"221" "Scaffold_4655" "45000001" "4.6e+07" "1"
"222" "Scaffold_4655" "46000001" "4.7e+07" "1"
"223" "Scaffold_4655" "47000001" "4.8e+07" "2"
"224" "Scaffold_4655" "48000001" "4.9e+07" "3"
"225" "Scaffold_4655" "49000001" "5e+07" "2"
"226" "Scaffold_4655" "50000001" "5.1e+07" "5"
"227" "Scaffold_4655" "51000001" "5.2e+07" "8"
"228" "Scaffold_4655" "52000001" "5.3e+07" "5"
"229" "Scaffold_4655" "53000001" "5.4e+07" "9"
"230" "Scaffold_4655" "54000001" "5.5e+07" "9"
"231" "Scaffold_4655" "55000001" "5.6e+07" "6"
"232" "Scaffold_10302" "1" "1e+06" "16"
"233" "Scaffold_10302" "1000001" "2e+06" "13"
"234" "Scaffold_10302" "2000001" "3e+06" "18"
"235" "Scaffold_10302" "3000001" "4e+06" "13"
"236" "Scaffold_10302" "4000001" "5e+06" "13"
"237" "Scaffold_10302" "5000001" "6e+06" "7"
"238" "Scaffold_10302" "6000001" "7e+06" "4"
"239" "Scaffold_10302" "7000001" "8e+06" "4"
"240" "Scaffold_10302" "8000001" "9e+06" "0"
"241" "Scaffold_10302" "9000001" "1e+07" "0"
"242" "Scaffold_10302" "10000001" "1.1e+07" "0"
"243" "Scaffold_10302" "11000001" "1.2e+07" "2"
"244" "Scaffold_10302" "12000001" "1.3e+07" "0"
"245" "Scaffold_10302" "13000001" "1.4e+07" "3"
"246" "Scaffold_10302" "14000001" "1.5e+07" "0"
"247" "Scaffold_10302" "15000001" "1.6e+07" "0"
"248" "Scaffold_10302" "16000001" "1.7e+07" "1"
"249" "Scaffold_10302" "17000001" "1.8e+07" "1"
"250" "Scaffold_10302" "18000001" "1.9e+07" "2"
"251" "Scaffold_10302" "19000001" "2e+07" "1"
"252" "Scaffold_10302" "20000001" "2.1e+07" "1"
"253" "Scaffold_10302" "21000001" "2.2e+07" "1"
"254" "Scaffold_10302" "22000001" "2.3e+07" "2"
"255" "Scaffold_10302" "23000001" "2.4e+07" "0"
"256" "Scaffold_10302" "24000001" "2.5e+07" "1"
"257" "Scaffold_10302" "25000001" "2.6e+07" "3"
"258" "Scaffold_10302" "26000001" "2.7e+07" "0"
"259" "Scaffold_10302" "27000001" "2.8e+07" "1"
"260" "Scaffold_10302" "28000001" "2.9e+07" "3"
"261" "Scaffold_10302" "29000001" "3e+07" "3"
"262" "Scaffold_10302" "30000001" "3.1e+07" "1"
"263" "Scaffold_10302" "31000001" "3.2e+07" "2"
"264" "Scaffold_10302" "32000001" "3.3e+07" "1"
"265" "Scaffold_10302" "33000001" "3.4e+07" "0"
"266" "Scaffold_10302" "34000001" "3.5e+07" "1"
"267" "Scaffold_10302" "35000001" "3.6e+07" "24"
"268" "Scaffold_10302" "36000001" "3.7e+07" "1"
"269" "Scaffold_10302" "37000001" "3.8e+07" "1"
"270" "Scaffold_10302" "38000001" "3.9e+07" "3"
"271" "Scaffold_10302" "39000001" "4e+07" "2"
"272" "Scaffold_10302" "40000001" "4.1e+07" "2"
"273" "Scaffold_10302" "41000001" "4.2e+07" "3"
"274" "Scaffold_10302" "42000001" "4.3e+07" "1"
"275" "Scaffold_10302" "43000001" "4.4e+07" "1"
"276" "Scaffold_10302" "44000001" "4.5e+07" "0"
"277" "Scaffold_10302" "45000001" "4.6e+07" "0"
"278" "Scaffold_10302" "46000001" "4.7e+07" "1"
"279" "Scaffold_10302" "47000001" "4.8e+07" "2"
"280" "Scaffold_10302" "48000001" "4.9e+07" "4"
"281" "Scaffold_10302" "49000001" "5e+07" "6"
"282" "Scaffold_10302" "50000001" "5.1e+07" "1"
"283" "Scaffold_10302" "51000001" "5.2e+07" "4"
"284" "Scaffold_10302" "52000001" "5.3e+07" "27"
"285" "Scaffold_10302" "53000001" "5.4e+07" "8"
"286" "Scaffold_10302" "54000001" "5.5e+07" "9"
"287" "Scaffold_10429" "1" "1e+06" "13"
"288" "Scaffold_10429" "1000001" "2e+06" "23"
"289" "Scaffold_10429" "2000001" "3e+06" "16"
"290" "Scaffold_10429" "3000001" "4e+06" "19"
"291" "Scaffold_10429" "4000001" "5e+06" "19"
"292" "Scaffold_10429" "5000001" "6e+06" "16"
"293" "Scaffold_10429" "6000001" "7e+06" "7"
"294" "Scaffold_10429" "7000001" "8e+06" "10"
"295" "Scaffold_10429" "8000001" "9e+06" "4"
"296" "Scaffold_10429" "9000001" "1e+07" "4"
"297" "Scaffold_10429" "10000001" "1.1e+07" "4"
"298" "Scaffold_10429" "11000001" "1.2e+07" "2"
"299" "Scaffold_10429" "12000001" "1.3e+07" "1"
"300" "Scaffold_10429" "13000001" "1.4e+07" "3"
"301" "Scaffold_10429" "14000001" "1.5e+07" "1"
"302" "Scaffold_10429" "15000001" "1.6e+07" "1"
"303" "Scaffold_10429" "16000001" "1.7e+07" "1"
"304" "Scaffold_10429" "17000001" "1.8e+07" "2"
"305" "Scaffold_10429" "18000001" "1.9e+07" "3"
"306" "Scaffold_10429" "19000001" "2e+07" "0"
"307" "Scaffold_10429" "20000001" "2.1e+07" "4"
"308" "Scaffold_10429" "21000001" "2.2e+07" "1"
"309" "Scaffold_10429" "22000001" "2.3e+07" "0"
"310" "Scaffold_10429" "23000001" "2.4e+07" "0"
"311" "Scaffold_10429" "24000001" "2.5e+07" "1"
"312" "Scaffold_10429" "25000001" "2.6e+07" "4"
"313" "Scaffold_10429" "26000001" "2.7e+07" "0"
"314" "Scaffold_10429" "27000001" "2.8e+07" "0"
"315" "Scaffold_10429" "28000001" "2.9e+07" "0"
"316" "Scaffold_10429" "29000001" "3e+07" "2"
"317" "Scaffold_10429" "30000001" "3.1e+07" "3"
"318" "Scaffold_10429" "31000001" "3.2e+07" "0"
"319" "Scaffold_10429" "32000001" "3.3e+07" "0"
"320" "Scaffold_10429" "33000001" "3.4e+07" "1"
"321" "Scaffold_10429" "34000001" "3.5e+07" "0"
"322" "Scaffold_10429" "35000001" "3.6e+07" "1"
"323" "Scaffold_10429" "36000001" "3.7e+07" "1"
"324" "Scaffold_10429" "37000001" "3.8e+07" "0"
"325" "Scaffold_10429" "38000001" "3.9e+07" "2"
"326" "Scaffold_10429" "39000001" "4e+07" "3"
"327" "Scaffold_10429" "40000001" "4.1e+07" "1"
"328" "Scaffold_10429" "41000001" "4.2e+07" "2"
"329" "Scaffold_10429" "42000001" "4.3e+07" "2"
"330" "Scaffold_10429" "43000001" "4.4e+07" "2"
"331" "Scaffold_10429" "44000001" "4.5e+07" "10"
"332" "Scaffold_10429" "45000001" "4.6e+07" "1"
"333" "Scaffold_10429" "46000001" "4.7e+07" "13"
"334" "Scaffold_10429" "47000001" "4.8e+07" "15"
"335" "Scaffold_10429" "48000001" "4.9e+07" "21"
"336" "Scaffold_10429" "49000001" "5e+07" "11"
"337" "Scaffold_10429" "50000001" "5.1e+07" "31"
"338" "Scaffold_10429" "51000001" "5.2e+07" "36"
"339" "Scaffold_10429" "52000001" "5.3e+07" "11"
"340" "Scaffold_5555" "1" "1e+06" "30"
"341" "Scaffold_5555" "1000001" "2e+06" "21"
"342" "Scaffold_5555" "2000001" "3e+06" "17"
"343" "Scaffold_5555" "3000001" "4e+06" "7"
"344" "Scaffold_5555" "4000001" "5e+06" "7"
"345" "Scaffold_5555" "5000001" "6e+06" "1"
"346" "Scaffold_5555" "6000001" "7e+06" "3"
"347" "Scaffold_5555" "7000001" "8e+06" "2"
"348" "Scaffold_5555" "8000001" "9e+06" "3"
"349" "Scaffold_5555" "9000001" "1e+07" "1"
"350" "Scaffold_5555" "10000001" "1.1e+07" "2"
"351" "Scaffold_5555" "11000001" "1.2e+07" "3"
"352" "Scaffold_5555" "12000001" "1.3e+07" "2"
"353" "Scaffold_5555" "13000001" "1.4e+07" "2"
"354" "Scaffold_5555" "14000001" "1.5e+07" "2"
"355" "Scaffold_5555" "15000001" "1.6e+07" "1"
"356" "Scaffold_5555" "16000001" "1.7e+07" "0"
"357" "Scaffold_5555" "17000001" "1.8e+07" "1"
"358" "Scaffold_5555" "18000001" "1.9e+07" "1"
"359" "Scaffold_5555" "19000001" "2e+07" "1"
"360" "Scaffold_5555" "20000001" "2.1e+07" "3"
"361" "Scaffold_5555" "21000001" "2.2e+07" "0"
"362" "Scaffold_5555" "22000001" "2.3e+07" "0"
"363" "Scaffold_5555" "23000001" "2.4e+07" "0"
"364" "Scaffold_5555" "24000001" "2.5e+07" "1"
"365" "Scaffold_5555" "25000001" "2.6e+07" "0"
"366" "Scaffold_5555" "26000001" "2.7e+07" "0"
"367" "Scaffold_5555" "27000001" "2.8e+07" "1"
"368" "Scaffold_5555" "28000001" "2.9e+07" "0"
"369" "Scaffold_5555" "29000001" "3e+07" "2"
"370" "Scaffold_5555" "30000001" "3.1e+07" "1"
"371" "Scaffold_5555" "31000001" "3.2e+07" "0"
"372" "Scaffold_5555" "32000001" "3.3e+07" "1"
"373" "Scaffold_5555" "33000001" "3.4e+07" "1"
"374" "Scaffold_5555" "34000001" "3.5e+07" "1"
"375" "Scaffold_5555" "35000001" "3.6e+07" "0"
"376" "Scaffold_5555" "36000001" "3.7e+07" "2"
"377" "Scaffold_5555" "37000001" "3.8e+07" "0"
"378" "Scaffold_5555" "38000001" "3.9e+07" "2"
"379" "Scaffold_5555" "39000001" "4e+07" "0"
"380" "Scaffold_5555" "40000001" "4.1e+07" "1"
"381" "Scaffold_5555" "41000001" "4.2e+07" "2"
"382" "Scaffold_5555" "42000001" "4.3e+07" "3"
"383" "Scaffold_5555" "43000001" "4.4e+07" "1"
"384" "Scaffold_5555" "44000001" "4.5e+07" "0"
"385" "Scaffold_5555" "45000001" "4.6e+07" "2"
"386" "Scaffold_5555" "46000001" "4.7e+07" "4"
"387" "Scaffold_5555" "47000001" "4.8e+07" "7"
"388" "Scaffold_5555" "48000001" "4.9e+07" "8"
"389" "Scaffold_5555" "49000001" "5e+07" "13"
"390" "Scaffold_5555" "50000001" "5.1e+07" "16"
"391" "Scaffold_5555" "51000001" "5.2e+07" "22"
"392" "Scaffold_5555" "52000001" "5.3e+07" "3"
"393" "Scaffold_9938" "1" "1e+06" "20"
"394" "Scaffold_9938" "1000001" "2e+06" "21"
"395" "Scaffold_9938" "2000001" "3e+06" "14"
"396" "Scaffold_9938" "3000001" "4e+06" "23"
"397" "Scaffold_9938" "4000001" "5e+06" "13"
"398" "Scaffold_9938" "5000001" "6e+06" "8"
"399" "Scaffold_9938" "6000001" "7e+06" "8"
"400" "Scaffold_9938" "7000001" "8e+06" "3"
"401" "Scaffold_9938" "8000001" "9e+06" "0"
"402" "Scaffold_9938" "9000001" "1e+07" "5"
"403" "Scaffold_9938" "10000001" "1.1e+07" "5"
"404" "Scaffold_9938" "11000001" "1.2e+07" "2"
"405" "Scaffold_9938" "12000001" "1.3e+07" "2"
"406" "Scaffold_9938" "13000001" "1.4e+07" "3"
"407" "Scaffold_9938" "14000001" "1.5e+07" "3"
"408" "Scaffold_9938" "15000001" "1.6e+07" "3"
"409" "Scaffold_9938" "16000001" "1.7e+07" "2"
"410" "Scaffold_9938" "17000001" "1.8e+07" "2"
"411" "Scaffold_9938" "18000001" "1.9e+07" "1"
"412" "Scaffold_9938" "19000001" "2e+07" "0"
"413" "Scaffold_9938" "20000001" "2.1e+07" "1"
"414" "Scaffold_9938" "21000001" "2.2e+07" "2"
"415" "Scaffold_9938" "22000001" "2.3e+07" "4"
"416" "Scaffold_9938" "23000001" "2.4e+07" "4"
"417" "Scaffold_9938" "24000001" "2.5e+07" "1"
"418" "Scaffold_9938" "25000001" "2.6e+07" "0"
"419" "Scaffold_9938" "26000001" "2.7e+07" "0"
"420" "Scaffold_9938" "27000001" "2.8e+07" "0"
"421" "Scaffold_9938" "28000001" "2.9e+07" "1"
"422" "Scaffold_9938" "29000001" "3e+07" "1"
"423" "Scaffold_9938" "30000001" "3.1e+07" "1"
"424" "Scaffold_9938" "31000001" "3.2e+07" "1"
"425" "Scaffold_9938" "32000001" "3.3e+07" "1"
"426" "Scaffold_9938" "33000001" "3.4e+07" "0"
"427" "Scaffold_9938" "34000001" "3.5e+07" "41"
"428" "Scaffold_9938" "35000001" "3.6e+07" "37"
"429" "Scaffold_9938" "36000001" "3.7e+07" "0"
"430" "Scaffold_9938" "37000001" "3.8e+07" "0"
"431" "Scaffold_9938" "38000001" "3.9e+07" "2"
"432" "Scaffold_9938" "39000001" "4e+07" "2"
"433" "Scaffold_9938" "40000001" "4.1e+07" "2"
"434" "Scaffold_9938" "41000001" "4.2e+07" "1"
"435" "Scaffold_9938" "42000001" "4.3e+07" "4"
"436" "Scaffold_9938" "43000001" "4.4e+07" "3"
"437" "Scaffold_9938" "44000001" "4.5e+07" "9"
"438" "Scaffold_9938" "45000001" "4.6e+07" "17"
"439" "Scaffold_9938" "46000001" "4.7e+07" "12"
"440" "Scaffold_9938" "47000001" "4.8e+07" "9"
"441" "Scaffold_9938" "48000001" "4.9e+07" "18"
"442" "Scaffold_9938" "49000001" "5e+07" "24"
"443" "Scaffold_9938" "50000001" "5.1e+07" "17"
"444" "Scaffold_9938" "51000001" "5.2e+07" "4"
"445" "Scaffold_4582" "1" "1e+06" "35"
"446" "Scaffold_4582" "1000001" "2e+06" "25"
"447" "Scaffold_4582" "2000001" "3e+06" "22"
"448" "Scaffold_4582" "3000001" "4e+06" "21"
"449" "Scaffold_4582" "4000001" "5e+06" "23"
"450" "Scaffold_4582" "5000001" "6e+06" "11"
"451" "Scaffold_4582" "6000001" "7e+06" "8"
"452" "Scaffold_4582" "7000001" "8e+06" "2"
"453" "Scaffold_4582" "8000001" "9e+06" "4"
"454" "Scaffold_4582" "9000001" "1e+07" "2"
"455" "Scaffold_4582" "10000001" "1.1e+07" "2"
"456" "Scaffold_4582" "11000001" "1.2e+07" "1"
"457" "Scaffold_4582" "12000001" "1.3e+07" "1"
"458" "Scaffold_4582" "13000001" "1.4e+07" "0"
"459" "Scaffold_4582" "14000001" "1.5e+07" "1"
"460" "Scaffold_4582" "15000001" "1.6e+07" "6"
"461" "Scaffold_4582" "16000001" "1.7e+07" "2"
"462" "Scaffold_4582" "17000001" "1.8e+07" "3"
"463" "Scaffold_4582" "18000001" "1.9e+07" "5"
"464" "Scaffold_4582" "19000001" "2e+07" "1"
"465" "Scaffold_4582" "20000001" "2.1e+07" "5"
"466" "Scaffold_4582" "21000001" "2.2e+07" "0"
"467" "Scaffold_4582" "22000001" "2.3e+07" "0"
"468" "Scaffold_4582" "23000001" "2.4e+07" "3"
"469" "Scaffold_4582" "24000001" "2.5e+07" "0"
"470" "Scaffold_4582" "25000001" "2.6e+07" "0"
"471" "Scaffold_4582" "26000001" "2.7e+07" "2"
"472" "Scaffold_4582" "27000001" "2.8e+07" "2"
"473" "Scaffold_4582" "28000001" "2.9e+07" "3"
"474" "Scaffold_4582" "29000001" "3e+07" "1"
"475" "Scaffold_4582" "30000001" "3.1e+07" "1"
