gene_ID1	OG_id1	chr	start	end	length1	str	description1	eAED1	QI1	gene_ID2	OG_id2	start	end	length2	str	description2	eAED2	QI2	overlap
Tfasc_v1.03607-RA	OG0013313	chr3	2157344	2159127	1783	+	putative ubiquitin	0.00	99|1|0.5|1|1|1|2|0|497	Tfasc_v1.03608-RA	OG0005446	2158471	2159019	548	-	polyubiquitin 4-like	0.00	0|1|0.5|1|0|0|2|0|107	549
Tfasc_v1.03598-RA	OG0002572	chr3	2112001	2116363	4362	+	salicylic acid-binding protein 2-like	0.04	27|1|1|1|0|0.66|3|95|267	Tfasc_v1.03599-RA	OG0004860	2115909	2119557	3648	-	protein NEOXANTHIN-DEFICIENT 1 isoform X1	0.25	0|0.8|0.81|1|0.8|0.63|11|592|313	455
Tfasc_v1.03613-RA	OG0013578	chr3	2176570	2179636	3066	+	probable pyruvate, phosphate dikinase regulatory protein, chloroplastic	0.13	0|0.5|0.66|1|1|1|3|434|724	Tfasc_v1.03614-RA	OG0013573	2179567	2182843	3276	-	predicted protein	0.10	59|1|1|1|1|1|5|1116|167	70
Tfasc_v1.03602-RA	OG0004860	chr3	2137711	2141314	3603	+	protein NEOXANTHIN-DEFICIENT 1 isoform X1	0.25	0|1|1|1|0.9|0.72|11|591|298	Tfasc_v1.03603-RA	OG0002572	2140861	2144896	4035	-	salicylic acid-binding protein 2-like	0.10	61|0|1|1|1|1|2|94|220	454
Tfasc_v1.03632-RA	OG0017494	chr3	2289146	2289700	554	+	uncharacterized abhydrolase domain-containing protein DDB_G0269086	0.03	0|-1|0|1|-1|0|1|0|184	Tfasc_v1.03631-RA	OG0013567	2289079	2289687	608	-	predicted protein	0.00	0|-1|0|1|-1|1|1|0|202	542
Tfasc_v1.03705-RA	OG0017465	chr3	2972206	2972448	242	+	dirigent protein 7-like	0.05	0|-1|0|1|-1|1|1|0|80	Tfasc_v1.03704-RA	OG0013385	2967524	2972594	5070	-	dirigent protein 19-like	0.07	0|0|0.5|1|1|1|2|231|190	243
Tfasc_v1.03775-RA	OG0014216	chr3	4203005	4219947	16942	+	la-related protein 1C-like	0.30	0|0.62|0.44|0.66|1|1|9|0|617	Tfasc_v1.03776-RA	OG0014215	4219416	4232798	13382	-	heparan-alpha-glucosaminide N-acetyltransferase-like isoform X1	0.14	62|0.81|0.88|1|0.93|0.88|17|626|490	532
Tfasc_v1.03803-RA	OG0016098	chr3	5136142	5137018	876	+	putative WRKY transcription factor 33	0.44	0|0|0|1|1|1|2|0|264	Tfasc_v1.03802-RA	OG0000803	5134768	5143645	8877	-	S-(+)-linalool synthase	0.24	11|1|0.75|1|0.66|0.5|4|0|272	877
Tfasc_v1.03810-RA	OG0000803	chr3	5209769	5218657	8888	+	(3S,6E)-nerolidol synthase 1-like	0.27	11|1|0.75|1|0.66|0.75|4|0|272	Tfasc_v1.03811-RA	OG0001168	5215639	5217277	1638	-	putative WRKY transcription factor 33	0.32	0|0|0|0.5|1|1|2|0|516	1639
Tfasc_v1.03855-RA	OG0000150	chr3	7155544	7161225	5681	+	none	0.00	0|1|0.5|1|0|0|2|69|61	Tfasc_v1.03856-RA	OG0015968	7160803	7167475	6672	-	protein LIM1	0.55	0|0|0|1|1|1|3|0|152	423
Tfasc_v1.03945-RA	OG0001671	chr3	11099640	11100512	872	+	Cytochrome c6, chloroplastic	0.27	0|0|0|0.6|0.5|0.6|5|0|152	Tfasc_v1.03944-RA	OG0001118	11093151	11106864	13713	-	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein isoform 1	0.22	218|0.28|0.25|0.87|0.28|0.25|8|0|654	873
Tfasc_v1.04127-RA	OG0000084	chr3	21536336	21536776	440	+	Replication protein A 70 kDa DNA-binding subunit B	0.10	0|-1|0|1|-1|1|1|0|146	Tfasc_v1.04126-RB	OG0002780	21535950	21536529	579	-	uncharacterized protein LOC109705653 isoform X3	0.20	84|1|0.5|1|0|0|2|0|84	194
Tfasc_v1.04260-RA	OG0015415	chr3	25682030	25682557	527	+	AAA-ATPase ASD, mitochondrial-like	0.41	0|-1|0|1|-1|0|1|0|175	Tfasc_v1.04259-RA	OG0000662	25675528	25682721	7193	-	AAA-ATPase ASD, mitochondrial	0.30	110|0.5|0.33|1|1|1|3|0|487	528
Tfasc_v1.04271-RA	OG0016116	chr3	25818953	25819495	542	+	putative disease resistance protein RGA3	0.13	0|-1|0|1|-1|1|1|0|180	Tfasc_v1.04270-RA	OG0000551	25818478	25820884	2406	-	kinesin-like protein KIN-7E	0.17	16|0.66|0.42|1|1|1|7|946|174	543
Tfasc_v1.04284-RA	OG0001781	chr3	25956401	25962269	5868	+	uncharacterized protein LOC109706151	1.00	0|0|0|0.5|1|1|2|0|95	Tfasc_v1.04283-RA	OG0000021	25950116	25956891	6775	-	uncharacterized protein LOC109725889	0.37	0|0|0|0.25|1|1|4|0|541	491
Tfasc_v1.04350-RA	OG0008652	chr3	26539647	26578839	39192	+	pentatricopeptide repeat-containing protein At3g62890-like	0.19	180|0.62|0.60|0.97|1|1|38|0|2326	Tfasc_v1.04351-RA	OG0003532	26545454	26546775	1321	-	chlororespiratory reduction 42	0.09	304|1|1|1|1|1|2|326|131	1322
Tfasc_v1.04350-RA	OG0008652	chr3	26539647	26578839	39192	+	pentatricopeptide repeat-containing protein At3g62890-like	0.19	180|0.62|0.60|0.97|1|1|38|0|2326	Tfasc_v1.04353-RA	OG0008651	26578797	26581246	2449	-	Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial	0.06	15|1|1|1|1|1|5|266|190	43
Tfasc_v1.04350-RA	OG0008652	chr3	26539647	26578839	39192	+	pentatricopeptide repeat-containing protein At3g62890-like	0.19	180|0.62|0.60|0.97|1|1|38|0|2326	Tfasc_v1.04352-RA	OG0003532	26575131	26576462	1331	-	chlororespiratory reduction 42	0.09	314|1|1|1|1|1|2|326|131	1332
Tfasc_v1.04384-RA	OG0008642	chr3	26903742	26907080	3338	+	probable receptor-like protein kinase At1g49730	0.21	0|0.83|0.85|1|1|1|7|1132|313	Tfasc_v1.04385-RA	OG0008638	26905910	26908197	2287	-	putative RING-H2 finger protein ATL71	0.01	57|1|1|1|0.5|0.33|3|244|129	1171
Tfasc_v1.04438-RA	OG0008623	chr3	27382386	27390514	8128	+	NIPA-like protein	0.13	0|1|0.9|1|0.77|0.7|10|1385|970	Tfasc_v1.04439-RA	OG0008619	27389625	27392054	2429	-	pentatricopeptide repeat-containing protein At5g41170, mitochondrial	0.00	0|-1|0|1|-1|1|1|0|809	890
Tfasc_v1.04463-RA	OG0008604	chr3	27603856	27608519	4663	+	putative serine/threonine-protein kinase isoform X1	0.25	0|0|0|0.75|1|1|8|0|397	Tfasc_v1.04462-RA	OG0003524	27601314	27603997	2683	-	AP-1 complex subunit sigma-2	0.23	362|0.85|0.75|1|0.85|0.87|8|73|159	142
Tfasc_v1.04517-RA	OG0001440	chr3	28145309	28151299	5990	+	succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	0.19	669|0.81|0.82|1|0.81|0.64|17|165|375	Tfasc_v1.04518-RA	OG0002098	28150413	28154660	4247	-	protein AE7-like 1	0.25	0|0.8|0.66|1|0.6|0.33|6|713|187	887
Tfasc_v1.04512-RA	OG0008569	chr3	28117800	28121482	3682	+	sulfite exporter TauE/SafE family protein 3	0.19	0|0.22|0.1|1|1|1|10|0|455	Tfasc_v1.04513-RA	OG0008562	28119055	28125288	6233	-	Guanine nucleotide-binding protein subunit beta	0.29	86|1|1|1|0.83|0.71|7|2427|379	2428
Tfasc_v1.04529-RA	OG0008568	chr3	28226517	28231853	5336	+	hexokinase-1-like	0.17	0|0.88|0.8|1|1|1|10|110|508	Tfasc_v1.04530-RA	OG0001439	28231774	28234974	3200	-	Malate dehydrogenase, glyoxysomal	0.15	236|1|1|1|0.88|0.8|10|766|356	80
Tfasc_v1.04522-RA	OG0001440	chr3	28190432	28196806	6374	+	succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	0.23	0|0.42|0.4|0.86|0.92|0.86|15|376|492	Tfasc_v1.04523-RA	OG0002098	28196483	28199979	3496	-	protein AE7-like 1	0.37	0|0.5|0.28|0.85|1|1|7|0|213	324
Tfasc_v1.04567-RA	OG0017991	chr3	28535047	28547053	12006	+	no_blast-ips	0.22	2016|0.25|0.4|0.8|0|0|5|0|99	Tfasc_v1.04569-RA	OG0000113	28540532	28543054	2522	-	putative WRKY transcription factor 33	0.42	0|-1|0|1|-1|1|1|0|840	2523
Tfasc_v1.04587-RA	OG0017993	chr3	28667274	28671334	4060	+	thioredoxin-like protein HCF164, chloroplastic isoform X1	0.31	0|0.33|0.75|0.75|1|1|4|1433|131	Tfasc_v1.04586-RA	OG0008530	28664732	28667682	2950	-	BTB/POZ domain-containing protein At5g66560-like	0.03	561|1|1|1|1|1|4|136|658	409
Tfasc_v1.04633-RA	OG0008514	chr3	29044915	29045157	242	+	predicted protein	0.57	0|-1|0|1|-1|1|1|0|80	Tfasc_v1.04632-RA	OG0008508	29044710	29045429	719	-	uncharacterized protein LOC109712447	0.01	71|1|1|1|1|1|2|137|109	243
Tfasc_v1.04654-RA	OG0008493	chr3	29189125	29197753	8628	+	Homeobox protein HOX1A	0.28	0|0.54|0.41|0.91|0.72|0.58|12|0|835	Tfasc_v1.04655-RA	OG0017998	29197255	29197806	551	-	zinc finger protein 7	0.19	0|-1|0|1|-1|1|1|0|183	499
Tfasc_v1.04674-RA	OG0008483	chr3	29338306	29345473	7167	+	cell division topological specificity factor homolog, chloroplastic-like	0.26	161|1|1|1|0.33|0.25|4|473|221	Tfasc_v1.04675-RA	OG0008479	29340526	29343766	3240	-	Flavin-containing monooxygenase FMO GS-OX-like 9	0.09	0|0|0|1|0.6|0.66|6|0|439	3241
Tfasc_v1.04694-RA	OG0008472	chr3	29452242	29454141	1899	+	uncharacterized protein LOC109712800 isoform X2	0.01	108|1|1|1|1|1|2|261|180	Tfasc_v1.04695-RA	OG0018001	29454036	29456376	2340	-	hypothetical protein ACMD2_10933	0.03	0|0.5|0.66|1|1|1|3|259|97	106
Tfasc_v1.04724-RA	OG0002107	chr3	29715035	29727313	12278	+	5'-3' exoribonuclease 4	0.12	79|0.95|0.95|1|0.95|1|22|330|982	Tfasc_v1.04725-RA	OG0008679	29727151	29729175	2024	-	Glyoxalase-like domain	0.10	258|1|1|1|1|1|3|979|147	163
Tfasc_v1.04748-RA	OG0008691	chr3	29907273	29909626	2353	+	pentatricopeptide repeat-containing protein At3g22690-like	0.22	11|0.5|0.66|1|1|1|3|87|684	Tfasc_v1.04749-RA	OG0003538	29908954	29912639	3685	-	probable ribose-5-phosphate isomerase 3, chloroplastic	0.10	39|1|1|1|0.33|0.25|4|454|298	673
Tfasc_v1.04761-RA	OG0008693	chr3	30034208	30037730	3522	+	pentatricopeptide repeat-containing protein At2g42920, chloroplastic	0.04	54|0.5|0.66|1|0|0.33|3|633|520	Tfasc_v1.04762-RA	OG0000754	30036903	30037775	872	-	chitinase 2-like	0.03	0|-1|0|1|-1|1|1|0|290	828
Tfasc_v1.04811-RA	OG0008725	chr3	30654427	30658095	3668	+	GDSL esterase/lipase At5g03810-like	0.15	0|0|0|1|1|1|5|0|347	Tfasc_v1.04812-RA	OG0003549	30655118	30672452	17334	-	E3 ubiquitin-protein ligase UPL7	0.07	74|1|1|1|0.92|0.86|15|485|1166	2978
Tfasc_v1.09296-RA	OG0008440	chr7	209054	212964	3910	+	B2 protein	0.08	344|1|1|1|1|1|5|695|349	Tfasc_v1.09297-RA	OG0008433	212826	216186	3360	-	RNA polymerase II transcriptional coactivator KELP	0.23	16|1|1|1|1|1|2|332|193	139
Tfasc_v1.09302-RA	OG0008426	chr7	241737	244133	2396	+	60S ribosomal protein L28-2-like	0.25	0|0|0|0.75|1|1|4|0|184	Tfasc_v1.09301-RA	OG0008423	238260	241885	3625	-	RWD domain-containing protein 1	0.26	179|1|0.9|1|1|1|10|211|339	149
Tfasc_v1.09294-RA	OG0008446	chr7	198220	201972	3752	+	fiber protein Fb11	0.44	0|0.5|0.66|1|0|0|3|0|126	Tfasc_v1.09295-RA	OG0008432	201362	204756	3394	-	interaptin-like isoform X1	0.14	0|0|0|1|1|1|4|0|833	611
Tfasc_v1.09323-RA	OG0003490	chr7	352603	355207	2604	+	50S ribosomal protein L34	0.43	49|0.66|0.5|0.75|1|1|4|0|239	Tfasc_v1.09322-RC	OG0003484	350041	352603	2562	-	uncharacterized protein LOC109704270	0.08	0|0.66|0.5|0.75|1|1|4|552|210	1
Tfasc_v1.09349-RA	OG0018009	chr7	530511	530915	404	+	cytidine deaminase 1-like	0.86	0|-1|0|1|-1|1|1|0|134	Tfasc_v1.09348-RA	OG0018010	530505	531446	941	-	cytidine deaminase 1-like	0.08	0|-1|0|1|-1|1|1|0|313	405
Tfasc_v1.09380-RA	OG0008388	chr7	750437	766218	15781	+	Alpha-amylase 3, chloroplastic	0.08	497|0.91|0.92|1|0.91|0.92|13|409|798	Tfasc_v1.09381-RA	OG0000275	755179	757553	2374	-	putative WRKY transcription factor 33	0.36	0|0|0|0.5|1|1|2|0|708	2375
Tfasc_v1.09376-RA	OG0008396	chr7	730385	738502	8117	+	probable aldehyde dehydrogenase isoform X1	0.23	35|0.93|0.87|1|1|1|16|336|595	Tfasc_v1.09378-RA	OG0008394	738418	743160	4742	-	V-type proton ATPase subunit d2	0.13	170|1|1|1|1|0.9|10|805|351	85
Tfasc_v1.09407-RA	OG0008379	chr7	947860	951820	3960	+	uncharacterized protein LOC109717090	0.39	367|0.66|0.5|0.75|0.66|0.5|4|0|246	Tfasc_v1.09406-RA	OG0008375	942674	948164	5490	-	holocarboxylase synthetase	0.18	0|0.5|0.4|0.8|1|1|5|394|364	305
Tfasc_v1.09492-RA	OG0018018	chr7	1572094	1572390	296	+	subtilisin-like protease SBT5.6	0.20	0|-1|0|1|-1|0|1|0|98	Tfasc_v1.09491-RA	OG0008320	1569800	1578831	9031	-	subtilisin-like protease SBT5.6	0.14	9|1|0.8|1|1|1|10|0|778	297
Tfasc_v1.09620-RA	OG0000507	chr7	2637900	2643195	5295	+	isocitrate dehydrogenase [NADP]	0.19	130|1|1|1|0.93|0.87|16|372|411	Tfasc_v1.09621-RA	OG0008261	2643160	2647906	4746	-	actin-related protein 2/3 complex subunit 2A	0.19	131|1|1|1|1|1|10|457|320	36
Tfasc_v1.09669-RA	OG0000144	chr7	3218695	3232875	14180	+	ABC transporter G family member 34-like isoform X2	0.35	0|0.10|0.05|1|1|1|20|0|1243	Tfasc_v1.09670-RA	OG0008239	3230030	3230415	385	-	pleiotropic drug resistance protein 1-like	0.53	0|0|0|0.66|0.5|0.33|3|0|67	386
Tfasc_v1.09729-RA	OG0018029	chr7	3906427	3907018	591	+	galactinol synthase 1-like	0.00	0|1|0.5|1|0|0|2|65|79	Tfasc_v1.09728-RA	OG0003454	3903805	3907220	3415	-	galactinol synthase 1-like	0.01	138|1|1|1|1|1|4|217|333	592
Tfasc_v1.09735-RA	OG0018029	chr7	3954621	3955212	591	+	galactinol synthase 2	0.00	0|1|0.5|1|0|0|2|65|79	Tfasc_v1.09734-RA	OG0003454	3952093	3955414	3321	-	galactinol synthase 1-like	0.01	138|1|1|1|1|1|4|225|333	592
Tfasc_v1.09785-RA	OG0003448	chr7	4651851	4654578	2727	+	uncharacterized protein LOC109717614	0.00	276|1|1|1|1|1|3|798|180	Tfasc_v1.09786-RA	OG0003443	4653931	4656123	2192	-	pentatricopeptide repeat-containing protein At2g13600-like	0.36	0|-1|0|1|-1|1|1|0|730	648
Tfasc_v1.09952-RA	OG0000119	chr7	9223604	9235776	12172	+	cyanogenic beta-glucosidase	1.00	0|0|0|0.4|1|1|5|0|418	Tfasc_v1.09953-RA	OG0000053	9229208	9230558	1350	-	Protein FAR-RED IMPAIRED RESPONSE 1	0.11	203|1|1|1|0|0|5|328|138	1351
Tfasc_v1.09970-RB	OG0018047	chr7	9558595	9584232	25637	+	two pore calcium channel protein 1 isoform X1	0.51	0|0.11|0.1|0.2|1|1|10|255|166	Tfasc_v1.09971-RA	OG0000018	9563976	9564371	395	-	serine/threonine-protein phosphatase 7 long form homolog	0.14	0|-1|0|1|-1|1|1|0|131	396
Tfasc_v1.09990-RB	OG0001164	chr7	10392690	10415007	22317	+	uncharacterized protein LOC109717439	0.19	0|0.8|0.83|0.83|0.6|0.5|6|1011|429	Tfasc_v1.09992-RA	OG0002730	10413935	10416048	2113	-	L-gulonolactone oxidase 3	0.20	0|0|0|1|1|1|3|0|329	1073
Tfasc_v1.09990-RB	OG0001164	chr7	10392690	10415007	22317	+	uncharacterized protein LOC109717439	0.19	0|0.8|0.83|0.83|0.6|0.5|6|1011|429	Tfasc_v1.09991-RA	OG0018049	10413567	10413893	326	-	L-gulonolactone oxidase 3	0.36	0|-1|0|1|-1|1|1|0|108	327
Tfasc_v1.09998-RA	OG0002730	chr7	10498703	10499852	1149	+	L-gulonolactone oxidase 3	0.03	0|0|0|1|1|1|2|0|360	Tfasc_v1.09997-RA	OG0001164	10498408	10507032	8624	-	transmembrane protein, putative	0.04	35|1|1|1|0.5|0.4|5|1016|315	1150
Tfasc_v1.10070-RB	OG0018057	chr7	12778037	12779139	1102	+	disease resistance protein RGA2-like isoform X1	0.43	0|1|1|1|0|0|2|0|104	Tfasc_v1.10069-RA	OG0000221	12755681	12779168	23487	-	disease resistance protein RGA2-like	0.31	0|0.2|0.16|1|1|1|6|0|785	1103
Tfasc_v1.10105-RA	OG0018060	chr7	13790486	13792004	1518	+	uncharacterized protein LOC109710026	0.09	176|1|1|1|0|0|4|62|66	Tfasc_v1.10104-RA	OG0014894	13776427	13792545	16118	-	sec-independent protein translocase protein TATC, chloroplastic	0.26	0|0|0|0.5|0.66|0.75|4|0|195	1519
Tfasc_v1.10123-RA	OG0000141	chr7	14793502	14805814	12312	+	disease resistance protein RGA2-like isoform X1	0.08	0|0.66|0.42|0.85|0.83|0.71|7|374|1321	Tfasc_v1.10124-RA	OG0018061	14800751	14801637	886	-	disease resistance protein RGA2-like	0.41	2|1|1|1|0|0|2|290|74	887
Tfasc_v1.10117-RA	OG0000862	chr7	14762130	14769662	7532	+	calcium-dependent protein kinase 32-like	0.37	0|0|0|0.83|1|1|6|0|460	Tfasc_v1.10118-RA	OG0000545	14766533	14767072	539	-	Serine-rich protein-related	0.40	0|0|0|1|0|0|2|0|132	540
Tfasc_v1.10132-RA	OG0000346	chr7	14933428	14957863	24435	+	disease resistance protein RGA2-like	0.16	0|0.28|0.12|0.75|1|1|8|0|1555	Tfasc_v1.10133-RA	OG0002684	14940865	14942286	1421	-	disease resistance protein RGA2-like	0.43	170|1|1|1|0|0|2|84|65	1422
Tfasc_v1.10157-RA	OG0000141	chr7	15585821	15591246	5425	+	disease resistance protein RGA2-like isoform X1	0.11	0|0.5|0.6|1|0.5|0.6|5|430|404	Tfasc_v1.10158-RA	OG0018061	15585866	15586751	885	-	putative disease resistance RPP13-like protein 1	0.33	2|1|1|1|0|0|2|290|74	886
Tfasc_v1.10186-RA	OG0005469	chr7	16376012	16376382	370	+	no_blast-ips	0.00	133|1|1|1|0|0|2|0|53	Tfasc_v1.10187-RA	OG0000018	16376256	16376915	659	-	serine/threonine-protein phosphatase 7 long form homolog	0.19	0|-1|0|1|-1|1|1|0|219	127
Tfasc_v1.10380-RA	OG0000676	chr7	21135647	21136076	429	+	no_blast-ips	0.46	19|1|1|1|0|0|2|130|64	Tfasc_v1.10379-RA	OG0000391	21134056	21139616	5560	-	Splicing factor 3A subunit 2	0.43	20|0.5|0.42|0.57|1|1|7|0|280	430
Tfasc_v1.10407-RA	OG0001176	chr7	22004208	22005017	809	+	splicing factor 3A subunit 2	0.79	0|0.25|0.2|0.4|1|1|5|0|135	Tfasc_v1.10406-RA	OG0000676	22002719	22004670	1951	-	none	0.55	0|0.33|0.25|0.5|0|0|4|201|80	463
Tfasc_v1.10415-RA	OG0000085	chr7	22152130	22164391	12261	+	disease resistance protein RPM1-like	0.04	0|0|0|0.33|1|1|3|0|993	Tfasc_v1.10416-RA	OG0016147	22164370	22167403	3033	-	splicing factor 3A subunit 2	0.39	0|1|1|1|0|0|3|29|72	22
Tfasc_v1.10422-RA	OG0000085	chr7	22245260	22247650	2390	+	disease resistance protein RPM1-like	0.04	0|-1|0|1|-1|1|1|0|796	Tfasc_v1.10423-RA	OG0016147	22247629	22250661	3032	-	splicing factor 3A subunit 2	0.39	0|1|1|1|0|0|3|29|72	22
Tfasc_v1.10449-RA	OG0005474	chr7	22567556	22569450	1894	+	disease resistance protein RPM1-like	0.36	0|1|0.5|1|0|0|2|27|140	Tfasc_v1.10447-RA	OG0000094	22565098	22567899	2801	-	disease resistance protein RPM1-like	0.33	0|-1|0|1|-1|1|1|0|933	344
Tfasc_v1.10449-RA	OG0005474	chr7	22567556	22569450	1894	+	disease resistance protein RPM1-like	0.36	0|1|0.5|1|0|0|2|27|140	Tfasc_v1.10450-RA	OG0000676	22569340	22575355	6015	-	disease resistance protein RPM1-like	0.69	0|0|0|0.66|0|0|3|0|161	111
Tfasc_v1.10480-RA	OG0016147	chr7	22907988	22909690	1702	+	splicing factor 3A subunit 2	0.40	44|1|1|1|0|0|3|29|57	Tfasc_v1.10481-RA	OG0000085	22909669	22912416	2747	-	disease resistance protein RPM1-like	0.30	0|-1|0|1|-1|1|1|0|915	22
Tfasc_v1.10500-RA	OG0005474	chr7	23107155	23109050	1895	+	disease resistance protein RPM1-like	0.38	0|1|0.5|1|0|0|2|27|140	Tfasc_v1.10498-RA	OG0000094	23104685	23107498	2813	-	disease resistance protein RPM1-like	0.33	0|-1|0|1|-1|1|1|0|937	344
Tfasc_v1.10631-RA	OG0000346	chr7	25264301	25273452	9151	+	disease resistance protein RGA2-like	0.17	0|0.5|0.28|0.85|1|1|7|0|1480	Tfasc_v1.10630-RA	OG0005476	25263329	25264454	1125	-	no_blast-ips	0.45	22|1|1|1|0|0|4|170|51	154
Tfasc_v1.10644-RA	OG0002684	chr7	25473006	25473918	912	+	putative disease resistance RPP13-like protein 1 isoform X1	0.35	462|1|1|1|0|0|2|250|51	Tfasc_v1.10645-RA	OG0000141	25473143	25477285	4142	-	disease resistance protein RGA2-like isoform X1	0.13	0|1|0|1|1|1|2|0|1239	776
Tfasc_v1.10698-RA	OG0013211	chr7	26567703	26574206	6503	+	High-affinity nitrate transporter 2.3	0.13	98|0.5|0.33|0.66|1|1|3|0|600	Tfasc_v1.10699-RA	OG0018090	26569631	26573362	3731	-	High-affinity nitrate transporter 2.3	0.31	125|1|0.5|1|0|0|2|0|126	3732
Tfasc_v1.10719-RA	OG0018092	chr7	26764570	26765086	516	+	probable RNA-dependent RNA polymerase SHL2	0.01	0|1|0|1|0|0|2|0|122	Tfasc_v1.10718-RA	OG0002528	26755604	26771574	15970	-	probable RNA-dependent RNA polymerase SHL2	0.07	0|0.58|0.38|1|0.91|0.92|13|481|2080	517
Tfasc_v1.10725-RA	OG0018092	chr7	26834724	26835247	523	+	RNA-dependent RNA polymerase 6	0.00	0|1|0.5|1|0|0|2|91|92	Tfasc_v1.10724-RA	OG0002528	26834505	26842659	8154	-	RNA-dependent RNA polymerase 6	0.01	0|1|0|1|1|1|2|0|1225	524
Tfasc_v1.10731-RA	OG0000860	chr7	26887603	26903211	15608	+	protein LNK2 isoform X1	0.55	0|0.5|0.46|0.69|1|1|13|0|411	Tfasc_v1.10730-RA	OG0000314	26873311	26889885	16574	-	no_blast-ips	0.55	0|0.5|0.4|0.6|1|1|5|0|250	2283
Tfasc_v1.23940-RA	OG0003557	chr19	252412	256834	4422	+	hypothetical protein ACMD2_01899	0.10	718|1|1|1|0.33|0.25|4|637|429	Tfasc_v1.23941-RA	OG0003558	256585	259888	3303	-	protein ABIL3-like	0.12	455|1|1|1|0.88|0.8|10|255|314	250
Tfasc_v1.23945-RA	OG0008745	chr19	275678	280354	4676	+	PP2A regulatory subunit TAP46	0.15	322|0.87|0.88|1|1|1|9|369|408	Tfasc_v1.23944-RA	OG0002031	273537	275705	2168	-	30S ribosomal protein S6 alpha, chloroplastic	0.29	265|1|1|1|1|1|2|176|201	28
